,,Formula 1,,,,Formula 2,,,,Formula 3,,,,G+C difference
Query genome,Reference genome,DDH,Model C.I.,Distance,Prob. DDH >= 70%,DDH,Model C.I.,Distance,Prob. DDH >= 70%,DDH,Model C.I.,Distance,Prob. DDH >= 70%,
JN024405-JN024414,JN024544-JN024553,100.00,[99.9 - 100%],0.0018,99.6,96.50,[95.2 - 97.4%],0.0049,97.54,99.90,[99.9 - 100%],0.0068,99.98,0.02
JN024405-JN024414,JN024415  JN024416  JN024417  JN024418  JN024419  JN024420  JN024421  JN024554  JN024555  JN024556,100.00,[100 - NaN%],0.0000,99.62,95.90,[94.5 - 97%],0.0056,97.42,100.00,[99.9 - 100%],0.0056,99.98,0.02
JN024405-JN024414,JN024203-JN024212,100.00,[100 - NaN%],0.0000,99.62,41.10,[38.6 - 43.7%],0.0958,3.57,92.00,[89.5 - 94%],0.0958,99.64,0.45
JN024405-JN024414,JN024213-JN024222,100.00,[100 - 100%],0.0012,99.61,39.70,[37.2 - 42.2%],0.1004,2.53,91.20,[88.6 - 93.3%],0.1014,99.56,0.38
JN024405-JN024414,JN024223  JN024224  JN024226  JN024227  JN024228  JN024229  JN024230  JN024231  JN024232  JN024233  JN024234  JN024235  JN024496  JN024497,100.00,[100 - NaN%],0.0000,99.62,39.80,[37.3 - 42.3%],0.1001,2.59,91.40,[88.8 - 93.4%],0.1001,99.58,0.41
JN024405-JN024414,JN024236  JN024237  JN024238  JN024239  JN024241  JN024242  JN024243  JN024244  JN024511,100.00,[100 - NaN%],0.0000,99.62,39.60,[37.1 - 42.1%],0.1008,2.45,91.30,[88.7 - 93.3%],0.1008,99.57,0.43
JN024405-JN024414,JN024245-JN024254,100.00,[100 - NaN%],0.0000,99.62,39.50,[37 - 42%],0.1013,2.37,91.20,[88.6 - 93.3%],0.1013,99.56,0.37
JN024405-JN024414,JN024255-JN024264,100.00,[99.9 - 100%],0.0018,99.6,39.40,[36.9 - 41.9%],0.1016,2.31,90.90,[88.3 - 93%],0.1032,99.53,0.36
JN024405-JN024414,JN024512-JN024520,100.00,[100 - NaN%],0.0000,99.62,39.60,[37.1 - 42.1%],0.1008,2.45,91.30,[88.7 - 93.3%],0.1008,99.57,0.43
JN024405-JN024414,JN024265  JN024266  JN024267  JN024268  JN024269  JN024270  JN024271  JN024272  JN024273  JN024521,100.00,[99.9 - 100%],0.0018,99.6,39.40,[36.9 - 41.9%],0.1015,2.33,91.00,[88.3 - 93%],0.1031,99.53,0.42
JN024405-JN024414,JN024274-JN024282,100.00,[100 - 100%],0.0012,99.61,40.20,[37.7 - 42.7%],0.0988,2.84,91.40,[88.9 - 93.4%],0.0999,99.58,0.17
JN024405-JN024414,JN024284-JN024292,100.00,[100 - 100%],0.0012,99.61,40.30,[37.8 - 42.9%],0.0983,2.95,91.50,[88.9 - 93.5%],0.0994,99.59,0.13
JN024405-JN024414,JN024293-JN024302,100.00,[100 - 100%],0.0012,99.61,40.30,[37.8 - 42.8%],0.0986,2.9,91.50,[88.9 - 93.5%],0.0996,99.59,0.13
JN024405-JN024414,JN024303-JN024312,100.00,[100 - 100%],0.0012,99.61,39.80,[37.3 - 42.3%],0.1001,2.58,91.20,[88.7 - 93.3%],0.1012,99.56,0.23
JN024405-JN024414,JN024313-JN024321,100.00,[100 - 100%],0.0012,99.61,40.30,[37.8 - 42.8%],0.0985,2.91,91.50,[88.9 - 93.5%],0.0996,99.59,0.15
JN024405-JN024414,JN024322  JN024323  JN024324  JN024325  JN024326  JN024327  JN024328  JN024329  JN024330  JN024498,100.00,[99.9 - 100%],0.0018,99.6,40.20,[37.7 - 42.7%],0.0989,2.82,91.30,[88.8 - 93.4%],0.1006,99.57,0.20
JN024405-JN024414,JN024331  JN024332  JN024333  JN024334  JN024335  JN024336  JN024337  JN024338  JN024499  JN024500,100.00,[99.9 - 100%],0.0018,99.6,40.40,[37.9 - 42.9%],0.0982,2.97,91.40,[88.9 - 93.4%],0.0999,99.58,0.21
JN024405-JN024414,JN024100  JN024101  JN024103  JN024104  JN024105  JN024106  JN024107  JN024108  JN024109,100.00,[100 - 100%],0.0002,99.62,39.50,[37.1 - 42.1%],0.1010,2.41,91.20,[88.7 - 93.3%],0.1011,99.56,0.13
JN024405-JN024414,JN024110-JN024119,100.00,[100 - 100%],0.0012,99.61,39.30,[36.8 - 41.8%],0.1018,2.28,91.00,[88.4 - 93.1%],0.1028,99.54,0.11
JN024405-JN024414,JN024120-JN024129,100.00,[100 - NaN%],0.0000,99.62,39.50,[37 - 42%],0.1011,2.4,91.30,[88.7 - 93.3%],0.1011,99.56,0.09
JN024405-JN024414,JN024130-JN024138,100.00,[100 - 100%],0.0012,99.61,39.50,[37.1 - 42.1%],0.1010,2.42,91.10,[88.5 - 93.2%],0.1021,99.55,0.13
JN024405-JN024414,JN024139-JN024148,100.00,[100 - NaN%],0.0000,99.62,39.70,[37.2 - 42.3%],0.1004,2.53,91.40,[88.8 - 93.4%],0.1004,99.58,0.08
JN024405-JN024414,JN024149  JN024150  JN024151  JN024152  JN024153  JN024154  JN024155  JN024156  JN024157  JN024158  JN024493  JN024494  JN024533  JN024534,100.00,[100 - 100%],0.0015,99.6,39.70,[37.2 - 42.2%],0.1006,2.49,91.10,[88.5 - 93.2%],0.1020,99.55,0.06
JN024405-JN024414,JN024159  JN024160  JN024161  JN024162  JN024163  JN024164  JN024535  JN024536  JN024572,100.00,[100 - NaN%],0.0000,99.62,39.70,[37.2 - 42.2%],0.1005,2.51,91.30,[88.8 - 93.4%],0.1005,99.57,0.10
JN024405-JN024414,JN024165  JN024166  JN024167  JN024168  JN024169  JN024170  JN024171  JN024172  JN024173  JN024495  JN024537,100.00,[100 - NaN%],0.0000,99.62,40.80,[38.3 - 43.3%],0.0968,3.31,91.90,[89.4 - 93.8%],0.0968,99.63,0.11
JN024405-JN024414,JN024174  JN024175  JN024176  JN024177  JN024179  JN024180  JN024181,100.00,[99.9 - 100%],0.0021,99.6,39.30,[36.8 - 41.8%],0.1019,2.25,90.90,[88.2 - 93%],0.1038,99.52,0.12
JN024405-JN024414,JN024182  JN024183  JN024184  JN024185  JN024186  JN024524  JN024525  JN024526  JN024527  JN024528,100.00,[100 - 100%],0.0001,99.62,41.40,[38.9 - 44%],0.0948,3.83,92.10,[89.7 - 94.1%],0.0949,99.65,0.10
JN024405-JN024414,JN024187  JN024188  JN024189  JN024190  JN024191  JN024192  JN024529  JN024530  JN024531  JN024532,100.00,[99.9 - 100%],0.0018,99.6,39.50,[37 - 42%],0.1012,2.38,91.00,[88.4 - 93.1%],0.1028,99.54,0.09
JN024405-JN024414,JN024193-JN024202,100.00,[100 - 100%],0.0001,99.62,39.10,[36.6 - 41.6%],0.1025,2.16,91.00,[88.4 - 93.1%],0.1026,99.54,0.08
JN024405-JN024414,JX976707  JX976708  JX976709,100.00,[100 - 100%],0.0013,99.61,26.30,[24 - 28.8%],0.1647,0.02,80.60,[77.2 - 83.6%],0.1658,95.96,0.17
JN024405-JN024414,JX976710  JX976711  JX976712  JX976713  JX976715  JX976716,100.00,[99.9 - 100%],0.0022,99.6,26.30,[24 - 28.8%],0.1645,0.02,80.50,[77.1 - 83.5%],0.1664,95.88,0.16
