,,Formula 1,,,,Formula 2,,,,Formula 3,,,,G+C difference
Query genome,Reference genome,DDH,Model C.I.,Distance,Prob. DDH >= 70%,DDH,Model C.I.,Distance,Prob. DDH >= 70%,DDH,Model C.I.,Distance,Prob. DDH >= 70%,
JN024187 JN024188 JN024189 JN024190 JN024191 JN024192 JN024529 JN024530 JN024531 JN024532,JN024193-JN024202,100.00,[100 - 100%],0.0002,99.62,93.10,[91.2 - 94.6%],0.0087,96.73,99.90,[99.8 - 99.9%],0.0089,99.98,0.01
JN024187 JN024188 JN024189 JN024190 JN024191 JN024192 JN024529 JN024530 JN024531 JN024532,JX976707  JX976708  JX976709,100.00,[99.9 - 100%],0.0018,99.6,26.70,[24.4 - 29.2%],0.1621,0.02,81.00,[77.6 - 84%],0.1636,96.24,0.08
JN024187 JN024188 JN024189 JN024190 JN024191 JN024192 JN024529 JN024530 JN024531 JN024532,JX976710  JX976711  JX976712  JX976713  JX976715  JX976716,99.90,[99.9 - 100%],0.0033,99.59,26.80,[24.4 - 29.2%],0.1617,0.02,80.90,[77.5 - 83.8%],0.1645,96.13,0.07
JN024187 JN024188 JN024189 JN024190 JN024191 JN024192 JN024529 JN024530 JN024531 JN024532,GQ999974,100.00,[100 - 100%],0.0009,99.61,26.60,[24.2 - 29.1%],0.1628,0.02,81.00,[77.7 - 84%],0.1635,96.25,0.16
JN024187 JN024188 JN024189 JN024190 JN024191 JN024192 JN024529 JN024530 JN024531 JN024532,JX976717  JX976718  JX976719  JX976720,100.00,[99.9 - 100%],0.0024,99.59,26.80,[24.4 - 29.2%],0.1618,0.02,81.00,[77.6 - 84%],0.1638,96.22,0.16
JN024187 JN024188 JN024189 JN024190 JN024191 JN024192 JN024529 JN024530 JN024531 JN024532,JX976721,29.90,[26.6 - 33.5%],0.5140,0.09,34.40,[32 - 36.9%],0.1207,0.54,29.40,[26.5 - 32.5%],0.5727,0,0.33
JN024187 JN024188 JN024189 JN024190 JN024191 JN024192 JN024529 JN024530 JN024531 JN024532,JX976729  JX976730  JX976731,99.30,[98.7 - 99.7%],0.0147,99.45,28.40,[26 - 30.8%],0.1516,0.05,80.90,[77.6 - 83.9%],0.1641,96.19,0.16
JN024187 JN024188 JN024189 JN024190 JN024191 JN024192 JN024529 JN024530 JN024531 JN024532,JX976670  JX976671,100.00,[100 - 100%],0.0009,99.61,27.10,[24.7 - 29.6%],0.1595,0.03,81.60,[78.2 - 84.5%],0.1603,96.65,0.30
JN024187 JN024188 JN024189 JN024190 JN024191 JN024192 JN024529 JN024530 JN024531 JN024532,JX976672-JX976680,99.90,[99.8 - 100%],0.0037,99.58,27.20,[24.8 - 29.7%],0.1590,0.03,81.30,[77.9 - 84.2%],0.1621,96.43,0.27
JN024187 JN024188 JN024189 JN024190 JN024191 JN024192 JN024529 JN024530 JN024531 JN024532,GQ999991,100.00,[100 - 100%],0.0009,99.61,26.90,[24.5 - 29.4%],0.1610,0.02,81.30,[78 - 84.3%],0.1618,96.47,0.01
JN024187 JN024188 JN024189 JN024190 JN024191 JN024192 JN024529 JN024530 JN024531 JN024532,JX976684  JX976685,100.00,[100 - 100%],0.0014,99.61,27.00,[24.7 - 29.5%],0.1598,0.03,81.50,[78.1 - 84.4%],0.1610,96.56,0.32
JN024187 JN024188 JN024189 JN024190 JN024191 JN024192 JN024529 JN024530 JN024531 JN024532,JX976686-JX976693,100.00,[99.9 - 100%],0.0030,99.59,27.90,[25.5 - 30.4%],0.1546,0.04,82.10,[78.8 - 85.1%],0.1571,96.99,0.30
JN024187 JN024188 JN024189 JN024190 JN024191 JN024192 JN024529 JN024530 JN024531 JN024532,JX976681-JX976683,100.00,[100 - 100%],0.0011,99.61,28.50,[26.1 - 30.9%],0.1510,0.05,83.00,[79.7 - 85.9%],0.1519,97.47,0.28
JN024187 JN024188 JN024189 JN024190 JN024191 JN024192 JN024529 JN024530 JN024531 JN024532,JX976632-JX976641,100.00,[99.9 - 100%],0.0024,99.6,26.00,[23.6 - 28.5%],0.1671,0.02,80.10,[76.6 - 83.1%],0.1691,95.48,0.15
JN024187 JN024188 JN024189 JN024190 JN024191 JN024192 JN024529 JN024530 JN024531 JN024532,JX976642,100.00,[100 - 100%],0.0009,99.61,25.70,[23.4 - 28.2%],0.1687,0.01,80.00,[76.6 - 83%],0.1694,95.44,0.10
JN024187 JN024188 JN024189 JN024190 JN024191 JN024192 JN024529 JN024530 JN024531 JN024532,GQ999983,100.00,[100 - 100%],0.0009,99.61,25.70,[23.4 - 28.2%],0.1687,0.01,80.00,[76.6 - 83%],0.1694,95.44,0.10
JN024187 JN024188 JN024189 JN024190 JN024191 JN024192 JN024529 JN024530 JN024531 JN024532,JX976646-JX976652,100.00,[99.9 - 100%],0.0016,99.6,26.10,[23.8 - 28.6%],0.1659,0.02,80.40,[77 - 83.4%],0.1672,95.77,0.25
JN024187 JN024188 JN024189 JN024190 JN024191 JN024192 JN024529 JN024530 JN024531 JN024532,JX976659-JX976669,100.00,[99.9 - 100%],0.0019,99.6,26.10,[23.8 - 28.6%],0.1659,0.02,80.30,[76.9 - 83.3%],0.1675,95.72,0.10
