,,Formula 1,,,,Formula 2,,,,Formula 3,,,,G+C difference
Query genome,Reference genome,DDH,Model C.I.,Distance,Prob. DDH >= 70%,DDH,Model C.I.,Distance,Prob. DDH >= 70%,DDH,Model C.I.,Distance,Prob. DDH >= 70%,
JN024120-JN024129,JN024130-JN024138,100.00,[100 - 100%],0.0012,99.61,97.50,[96.5 - 98.2%],0.0037,97.76,100.00,[99.9 - 100%],0.0049,99.98,0.04
JN024120-JN024129,JN024139-JN024148,100.00,[100 - NaN%],0.0000,99.62,98.00,[97.2 - 98.6%],0.0030,97.86,100.00,[100 - 100%],0.0030,99.99,0.01
JN024120-JN024129,JN024149  JN024150  JN024151  JN024152  JN024153  JN024154  JN024155  JN024156  JN024157  JN024158  JN024493  JN024494  JN024533  JN024534,100.00,[100 - 100%],0.0015,99.6,97.90,[97 - 98.5%],0.0032,97.83,100.00,[99.9 - 100%],0.0047,99.98,0.03
JN024120-JN024129,JN024159  JN024160  JN024161  JN024162  JN024163  JN024164  JN024535  JN024536  JN024572,100.00,[100 - NaN%],0.0000,99.62,97.70,[96.8 - 98.4%],0.0034,97.8,100.00,[100 - 100%],0.0034,99.99,0.02
JN024120-JN024129,JN024165  JN024166  JN024167  JN024168  JN024169  JN024170  JN024171  JN024172  JN024173  JN024495  JN024537,100.00,[100 - NaN%],0.0000,99.62,97.50,[96.5 - 98.2%],0.0037,97.75,100.00,[99.9 - 100%],0.0037,99.99,0.02
JN024120-JN024129,JN024174  JN024175  JN024176  JN024177  JN024179  JN024180  JN024181,100.00,[99.9 - 100%],0.0021,99.6,96.70,[95.5 - 97.6%],0.0047,97.58,99.90,[99.9 - 100%],0.0067,99.98,0.03
JN024120-JN024129,JN024182  JN024183  JN024184  JN024185  JN024186  JN024524  JN024525  JN024526  JN024527  JN024528,100.00,[100 - NaN%],0.0000,99.62,96.40,[95.1 - 97.3%],0.0050,97.52,100.00,[99.9 - 100%],0.0050,99.98,0.02
JN024120-JN024129,JN024187  JN024188  JN024189  JN024190  JN024191  JN024192  JN024529  JN024530  JN024531  JN024532,100.00,[99.9 - 100%],0.0018,99.6,95.00,[93.4 - 96.2%],0.0066,97.2,99.90,[99.8 - 100%],0.0085,99.98,0.00
JN024120-JN024129,JN024193-JN024202,100.00,[100 - 100%],0.0001,99.62,95.00,[93.4 - 96.2%],0.0066,97.21,99.90,[99.9 - 100%],0.0067,99.98,0.01
JN024120-JN024129,JX976707  JX976708  JX976709,100.00,[100 - 100%],0.0013,99.61,26.90,[24.5 - 29.4%],0.1608,0.03,81.30,[78 - 84.3%],0.1619,96.46,0.08
JN024120-JN024129,JX976710  JX976711  JX976712  JX976713  JX976715  JX976716,100.00,[99.9 - 100%],0.0022,99.6,26.90,[24.6 - 29.4%],0.1607,0.03,81.20,[77.8 - 84.2%],0.1625,96.38,0.07
JN024120-JN024129,GQ999974,100.00,[100 - 100%],0.0009,99.61,26.80,[24.5 - 29.3%],0.1613,0.02,81.30,[77.9 - 84.3%],0.1620,96.44,0.16
JN024120-JN024129,JX976717  JX976718  JX976719  JX976720,100.00,[99.9 - 100%],0.0017,99.6,26.90,[24.5 - 29.4%],0.1610,0.02,81.20,[77.8 - 84.2%],0.1625,96.39,0.16
JN024120-JN024129,JX976721,67.90,[64.1 - 71.6%],0.1945,68.83,28.00,[25.7 - 30.5%],0.1535,0.04,55.40,[52.2 - 58.5%],0.3182,10.28,0.33
JN024120-JN024129,JX976729  JX976730  JX976731,100.00,[100 - 100%],0.0012,99.61,28.40,[26 - 30.9%],0.1513,0.05,83.00,[79.7 - 85.8%],0.1524,97.44,0.16
JN024120-JN024129,JX976670  JX976671,100.00,[100 - 100%],0.0006,99.61,27.40,[25 - 29.9%],0.1576,0.03,82.00,[78.6 - 84.9%],0.1581,96.88,0.30
JN024120-JN024129,JX976672-JX976680,100.00,[99.9 - 100%],0.0023,99.6,27.40,[25 - 29.9%],0.1576,0.03,81.70,[78.4 - 84.7%],0.1596,96.72,0.27
JN024120-JN024129,GQ999991,100.00,[100 - 100%],0.0009,99.61,27.20,[24.8 - 29.7%],0.1590,0.03,81.70,[78.3 - 84.6%],0.1598,96.7,0.01
JN024120-JN024129,JX976684  JX976685,100.00,[100 - 100%],0.0011,99.61,27.30,[25 - 29.8%],0.1579,0.03,81.90,[78.5 - 84.8%],0.1588,96.81,0.31
JN024120-JN024129,JX976686-JX976693,100.00,[99.9 - 100%],0.0016,99.6,28.00,[25.7 - 30.5%],0.1535,0.04,82.50,[79.2 - 85.4%],0.1549,97.2,0.30
JN024120-JN024129,JX976681-JX976683,100.00,[100 - 100%],0.0008,99.61,28.60,[26.2 - 31.1%],0.1500,0.06,83.20,[80 - 86.1%],0.1507,97.57,0.28
JN024120-JN024129,JX976632-JX976641,100.00,[100 - 100%],0.0010,99.61,26.00,[23.7 - 28.5%],0.1666,0.02,80.30,[77 - 83.4%],0.1674,95.73,0.15
JN024120-JN024129,JX976642,100.00,[100 - 100%],0.0006,99.61,26.00,[23.6 - 28.4%],0.1672,0.02,80.30,[76.9 - 83.3%],0.1677,95.69,0.10
JN024120-JN024129,GQ999983,100.00,[100 - 100%],0.0006,99.61,26.00,[23.6 - 28.4%],0.1672,0.02,80.30,[76.9 - 83.3%],0.1677,95.69,0.10
JN024120-JN024129,JX976646-JX976652,100.00,[100 - 100%],0.0004,99.61,26.30,[24 - 28.8%],0.1648,0.02,80.80,[77.4 - 83.7%],0.1651,96.05,0.25
JN024120-JN024129,JX976659-JX976669,100.00,[100 - 100%],0.0005,99.61,26.30,[23.9 - 28.8%],0.1650,0.02,80.70,[77.3 - 83.7%],0.1654,96.01,0.09
