,,Formula 1,,,,Formula 2,,,,Formula 3,,,,G+C difference
Query genome,Reference genome,DDH,Model C.I.,Distance,Prob. DDH >= 70%,DDH,Model C.I.,Distance,Prob. DDH >= 70%,DDH,Model C.I.,Distance,Prob. DDH >= 70%,
JN024159 JN024160 JN024161 JN024162 JN024163 JN024164 JN024535 JN024536 JN024572,JN024165  JN024166  JN024167  JN024168  JN024169  JN024170  JN024171  JN024172  JN024173  JN024495  JN024537,100.00,[100 - 100%],0.0000,99.62,96.80,[95.6 - 97.7%],0.0045,97.61,100.00,[99.9 - 100%],0.0046,99.99,0.00
JN024159 JN024160 JN024161 JN024162 JN024163 JN024164 JN024535 JN024536 JN024572,JN024174  JN024175  JN024176  JN024177  JN024179  JN024180  JN024181,100.00,[100 - 100%],0.0007,99.61,95.80,[94.4 - 96.9%],0.0057,97.39,99.90,[99.9 - 100%],0.0064,99.98,0.02
JN024159 JN024160 JN024161 JN024162 JN024163 JN024164 JN024535 JN024536 JN024572,JN024182  JN024183  JN024184  JN024185  JN024186  JN024524  JN024525  JN024526  JN024527  JN024528,100.00,[100 - NaN%],0.0000,99.62,95.70,[94.2 - 96.8%],0.0058,97.36,100.00,[99.9 - 100%],0.0058,99.98,0.00
JN024159 JN024160 JN024161 JN024162 JN024163 JN024164 JN024535 JN024536 JN024572,JN024187  JN024188  JN024189  JN024190  JN024191  JN024192  JN024529  JN024530  JN024531  JN024532,100.00,[100 - 100%],0.0006,99.61,94.60,[92.9 - 95.9%],0.0071,97.11,99.90,[99.8 - 100%],0.0077,99.98,0.01
JN024159 JN024160 JN024161 JN024162 JN024163 JN024164 JN024535 JN024536 JN024572,JN024193-JN024202,100.00,[100 - 100%],0.0000,99.62,93.80,[92 - 95.2%],0.0079,96.92,99.90,[99.8 - 100%],0.0080,99.98,0.03
JN024159 JN024160 JN024161 JN024162 JN024163 JN024164 JN024535 JN024536 JN024572,JX976707  JX976708  JX976709,100.00,[100 - 100%],0.0012,99.61,26.90,[24.6 - 29.4%],0.1606,0.03,81.40,[78 - 84.3%],0.1617,96.48,0.06
JN024159 JN024160 JN024161 JN024162 JN024163 JN024164 JN024535 JN024536 JN024572,JX976710  JX976711  JX976712  JX976713  JX976715  JX976716,100.00,[99.9 - 100%],0.0022,99.6,27.00,[24.6 - 29.5%],0.1603,0.03,81.30,[77.9 - 84.2%],0.1622,96.42,0.06
JN024159 JN024160 JN024161 JN024162 JN024163 JN024164 JN024535 JN024536 JN024572,GQ999974,100.00,[100 - 100%],0.0007,99.61,26.80,[24.5 - 29.3%],0.1613,0.02,81.30,[77.9 - 84.3%],0.1619,96.45,0.14
JN024159 JN024160 JN024161 JN024162 JN024163 JN024164 JN024535 JN024536 JN024572,JX976717  JX976718  JX976719  JX976720,100.00,[99.9 - 100%],0.0017,99.6,26.90,[24.5 - 29.4%],0.1608,0.03,81.30,[77.9 - 84.2%],0.1622,96.41,0.15
JN024159 JN024160 JN024161 JN024162 JN024163 JN024164 JN024535 JN024536 JN024572,JX976721,40.80,[37.4 - 44.2%],0.3851,2.02,30.90,[28.5 - 33.4%],0.1375,0.15,37.60,[34.6 - 40.6%],0.4696,0.06,0.31
JN024159 JN024160 JN024161 JN024162 JN024163 JN024164 JN024535 JN024536 JN024572,JX976729  JX976730  JX976731,100.00,[100 - 100%],0.0011,99.61,28.40,[26 - 30.9%],0.1516,0.05,82.90,[79.6 - 85.8%],0.1525,97.42,0.14
