,,Formula 1,,,,Formula 2,,,,Formula 3,,,,G+C difference
Query genome,Reference genome,DDH,Model C.I.,Distance,Prob. DDH >= 70%,DDH,Model C.I.,Distance,Prob. DDH >= 70%,DDH,Model C.I.,Distance,Prob. DDH >= 70%,
JN024364-JN024375,JN024376-JN024385,100.00,[100 - NaN%],0.0000,99.62,97.50,[96.5 - 98.2%],0.0037,97.76,100.00,[99.9 - 100%],0.0037,99.99,0.08
JN024364-JN024375,JN024386-JN024395,100.00,[99.9 - 100%],0.0017,99.6,98.00,[97.1 - 98.6%],0.0031,97.85,100.00,[99.9 - 100%],0.0048,99.98,0.00
JN024364-JN024375,JN024396  JN024397  JN024398  JN024399  JN024400  JN024401  JN024402  JN024403  JN024404  JN024542  JN024543,100.00,[100 - 100%],0.0000,99.62,97.90,[97 - 98.5%],0.0032,97.83,100.00,[100 - 100%],0.0033,99.99,0.03
JN024364-JN024375,JN024405-JN024414,100.00,[99.9 - 100%],0.0017,99.6,97.20,[96.1 - 98%],0.0041,97.69,100.00,[99.9 - 100%],0.0057,99.98,0.07
JN024364-JN024375,JN024544-JN024553,100.00,[100 - NaN%],0.0000,99.62,96.90,[95.7 - 97.8%],0.0044,97.63,100.00,[99.9 - 100%],0.0044,99.99,0.04
JN024364-JN024375,JN024415  JN024416  JN024417  JN024418  JN024419  JN024420  JN024421  JN024554  JN024555  JN024556,100.00,[100 - 100%],0.0012,99.61,96.50,[95.3 - 97.5%],0.0049,97.55,99.90,[99.9 - 100%],0.0060,99.98,0.05
JN024364-JN024375,JN024203-JN024212,100.00,[100 - 100%],0.0010,99.61,43.30,[40.8 - 45.9%],0.0891,5.81,92.80,[90.5 - 94.6%],0.0900,99.7,0.51
JN024364-JN024375,JN024213-JN024222,100.00,[100 - 100%],0.0006,99.61,41.80,[39.3 - 44.3%],0.0936,4.18,92.30,[89.8 - 94.1%],0.0941,99.66,0.44
JN024364-JN024375,JN024223  JN024224  JN024226  JN024227  JN024228  JN024229  JN024230  JN024231  JN024232  JN024233  JN024234  JN024235  JN024496  JN024497,100.00,[99.9 - 100%],0.0020,99.6,42.20,[39.7 - 44.7%],0.0925,4.55,92.20,[89.8 - 94.1%],0.0943,99.66,0.47
JN024364-JN024375,JN024236  JN024237  JN024238  JN024239  JN024241  JN024242  JN024243  JN024244  JN024511,100.00,[100 - 100%],0.0007,99.61,41.50,[39.1 - 44.1%],0.0944,3.95,92.10,[89.7 - 94%],0.0951,99.65,0.50
JN024364-JN024375,JN024245-JN024254,100.00,[100 - 100%],0.0005,99.61,41.40,[38.9 - 44%],0.0948,3.84,92.10,[89.6 - 94%],0.0952,99.65,0.44
JN024364-JN024375,JN024255-JN024264,100.00,[100 - 100%],0.0000,99.62,41.40,[38.9 - 43.9%],0.0949,3.82,92.20,[89.7 - 94.1%],0.0949,99.65,0.43
