,,Formula 1,,,,Formula 2,,,,Formula 3,,,,G+C difference
Query genome,Reference genome,DDH,Model C.I.,Distance,Prob. DDH >= 70%,DDH,Model C.I.,Distance,Prob. DDH >= 70%,DDH,Model C.I.,Distance,Prob. DDH >= 70%,
JX976710 JX976711 JX976712 JX976713 JX976715 JX976716,GQ999974,100.00,[100 - 100%],0.0000,99.62,99.10,[98.6 - 99.4%],0.0016,98.08,100.00,[100 - 100%],0.0017,99.99,0.09
JX976710 JX976711 JX976712 JX976713 JX976715 JX976716,JX976717  JX976718  JX976719  JX976720,100.00,[100 - 100%],0.0000,99.62,98.20,[97.4 - 98.8%],0.0028,97.9,100.00,[100 - 100%],0.0028,99.99,0.09
JX976710 JX976711 JX976712 JX976713 JX976715 JX976716,JX976721,70.30,[66.4 - 74%],0.1817,75.16,99.10,[98.6 - 99.4%],0.0016,98.09,77.60,[74.2 - 80.7%],0.1830,92.87,0.26
JX976710 JX976711 JX976712 JX976713 JX976715 JX976716,JX976729  JX976730  JX976731,100.00,[100 - 100%],0.0000,99.62,98.30,[97.5 - 98.8%],0.0027,97.91,100.00,[100 - 100%],0.0027,99.99,0.09
JX976710 JX976711 JX976712 JX976713 JX976715 JX976716,JX976670  JX976671,100.00,[100 - 100%],0.0011,99.61,42.50,[40 - 45.1%],0.0914,4.93,92.50,[90.1 - 94.4%],0.0924,99.68,0.37
JX976710 JX976711 JX976712 JX976713 JX976715 JX976716,JX976672-JX976680,100.00,[100 - 100%],0.0000,99.62,42.50,[40 - 45.1%],0.0914,4.91,92.60,[90.2 - 94.5%],0.0915,99.69,0.34
JX976710 JX976711 JX976712 JX976713 JX976715 JX976716,GQ999991,100.00,[100 - 100%],0.0000,99.62,42.00,[39.5 - 44.6%],0.0929,4.42,92.40,[90 - 94.3%],0.0929,99.67,0.08
JX976710 JX976711 JX976712 JX976713 JX976715 JX976716,JX976684  JX976685,99.90,[99.8 - 100%],0.0034,99.59,42.40,[39.9 - 45%],0.0916,4.83,92.20,[89.7 - 94.1%],0.0947,99.65,0.38
JX976710 JX976711 JX976712 JX976713 JX976715 JX976716,JX976686-JX976693,100.00,[100 - 100%],0.0001,99.62,43.00,[40.5 - 45.6%],0.0899,5.51,92.80,[90.5 - 94.6%],0.0900,99.7,0.37
JX976710 JX976711 JX976712 JX976713 JX976715 JX976716,JX976681-JX976683,100.00,[100 - 100%],0.0004,99.61,42.90,[40.4 - 45.4%],0.0903,5.33,92.70,[90.4 - 94.6%],0.0906,99.7,0.35
JX976710 JX976711 JX976712 JX976713 JX976715 JX976716,JX976632-JX976641,100.00,[100 - 100%],0.0000,99.62,38.80,[36.4 - 41.3%],0.1035,2,90.90,[88.3 - 93%],0.1035,99.53,0.22
JX976710 JX976711 JX976712 JX976713 JX976715 JX976716,JX976642,100.00,[100 - 100%],0.0000,99.62,38.90,[36.4 - 41.4%],0.1032,2.05,90.90,[88.3 - 93%],0.1032,99.53,0.03
JX976710 JX976711 JX976712 JX976713 JX976715 JX976716,GQ999983,100.00,[100 - 100%],0.0000,99.62,38.90,[36.4 - 41.4%],0.1032,2.05,90.90,[88.3 - 93%],0.1032,99.53,0.03
JX976710 JX976711 JX976712 JX976713 JX976715 JX976716,JX976646-JX976652,100.00,[99.9 - 100%],0.0021,99.6,39.20,[36.8 - 41.8%],0.1021,2.23,90.80,[88.2 - 92.9%],0.1040,99.52,0.32
JX976710 JX976711 JX976712 JX976713 JX976715 JX976716,JX976659-JX976669,100.00,[100 - 100%],0.0013,99.61,39.40,[37 - 42%],0.1014,2.35,91.00,[88.4 - 93.1%],0.1026,99.54,0.17
