,,Formula 1,,,,Formula 2,,,,Formula 3,,,,G+C difference
Query genome,Reference genome,DDH,Model C.I.,Distance,Prob. DDH >= 70%,DDH,Model C.I.,Distance,Prob. DDH >= 70%,DDH,Model C.I.,Distance,Prob. DDH >= 70%,
JN024149 JN024150 JN024151 JN024152 JN024153 JN024154 JN024155 JN024156 JN024157 JN024158 JN024493 JN024494 JN024533 JN024534,JN024159  JN024160  JN024161  JN024162  JN024163  JN024164  JN024535  JN024536  JN024572,100.00,[100 - 100%],0.0005,99.61,97.40,[96.3 - 98.1%],0.0039,97.72,100.00,[99.9 - 100%],0.0044,99.99,0.05
JN024149 JN024150 JN024151 JN024152 JN024153 JN024154 JN024155 JN024156 JN024157 JN024158 JN024493 JN024494 JN024533 JN024534,JN024165  JN024166  JN024167  JN024168  JN024169  JN024170  JN024171  JN024172  JN024173  JN024495  JN024537,100.00,[100 - 100%],0.0001,99.62,97.20,[96.1 - 98%],0.0041,97.69,100.00,[99.9 - 100%],0.0042,99.99,0.05
JN024149 JN024150 JN024151 JN024152 JN024153 JN024154 JN024155 JN024156 JN024157 JN024158 JN024493 JN024494 JN024533 JN024534,JN024174  JN024175  JN024176  JN024177  JN024179  JN024180  JN024181,100.00,[100 - 100%],0.0000,99.62,96.10,[94.7 - 97.1%],0.0054,97.45,100.00,[99.9 - 100%],0.0054,99.98,0.07
JN024149 JN024150 JN024151 JN024152 JN024153 JN024154 JN024155 JN024156 JN024157 JN024158 JN024493 JN024494 JN024533 JN024534,JN024182  JN024183  JN024184  JN024185  JN024186  JN024524  JN024525  JN024526  JN024527  JN024528,100.00,[100 - 100%],0.0006,99.61,96.20,[94.9 - 97.2%],0.0052,97.48,100.00,[99.9 - 100%],0.0058,99.98,0.05
JN024149 JN024150 JN024151 JN024152 JN024153 JN024154 JN024155 JN024156 JN024157 JN024158 JN024493 JN024494 JN024533 JN024534,JN024187  JN024188  JN024189  JN024190  JN024191  JN024192  JN024529  JN024530  JN024531  JN024532,100.00,[100 - NaN%],0.0000,99.62,95.00,[93.4 - 96.2%],0.0067,97.2,99.90,[99.9 - 100%],0.0067,99.98,0.04
JN024149 JN024150 JN024151 JN024152 JN024153 JN024154 JN024155 JN024156 JN024157 JN024158 JN024493 JN024494 JN024533 JN024534,JN024193-JN024202,100.00,[100 - 100%],0.0002,99.62,94.10,[92.3 - 95.4%],0.0077,96.98,99.90,[99.8 - 100%],0.0079,99.98,0.02
JN024149 JN024150 JN024151 JN024152 JN024153 JN024154 JN024155 JN024156 JN024157 JN024158 JN024493 JN024494 JN024533 JN024534,JX976707  JX976708  JX976709,100.00,[100 - 100%],0.0014,99.6,26.90,[24.5 - 29.4%],0.1610,0.02,81.30,[77.9 - 84.2%],0.1622,96.42,0.11
JN024149 JN024150 JN024151 JN024152 JN024153 JN024154 JN024155 JN024156 JN024157 JN024158 JN024493 JN024494 JN024533 JN024534,JX976710  JX976711  JX976712  JX976713  JX976715  JX976716,100.00,[99.9 - 100%],0.0026,99.59,26.90,[24.5 - 29.4%],0.1609,0.02,81.10,[77.7 - 84.1%],0.1631,96.31,0.10
JN024149 JN024150 JN024151 JN024152 JN024153 JN024154 JN024155 JN024156 JN024157 JN024158 JN024493 JN024494 JN024533 JN024534,GQ999974,100.00,[100 - 100%],0.0007,99.61,26.80,[24.4 - 29.3%],0.1616,0.02,81.30,[77.9 - 84.2%],0.1622,96.42,0.19
JN024149 JN024150 JN024151 JN024152 JN024153 JN024154 JN024155 JN024156 JN024157 JN024158 JN024493 JN024494 JN024533 JN024534,JX976717  JX976718  JX976719  JX976720,100.00,[99.9 - 100%],0.0019,99.6,26.80,[24.5 - 29.3%],0.1612,0.02,81.20,[77.8 - 84.1%],0.1628,96.34,0.20
JN024149 JN024150 JN024151 JN024152 JN024153 JN024154 JN024155 JN024156 JN024157 JN024158 JN024493 JN024494 JN024533 JN024534,JX976721,29.80,[26.4 - 33.4%],0.5167,0.08,34.40,[32 - 37%],0.1206,0.55,29.30,[26.3 - 32.4%],0.5750,0,0.36
JN024149 JN024150 JN024151 JN024152 JN024153 JN024154 JN024155 JN024156 JN024157 JN024158 JN024493 JN024494 JN024533 JN024534,JX976729  JX976730  JX976731,99.60,[99.1 - 99.8%],0.0112,99.5,28.50,[26.2 - 31%],0.1504,0.06,81.70,[78.3 - 84.6%],0.1599,96.68,0.19
JN024149 JN024150 JN024151 JN024152 JN024153 JN024154 JN024155 JN024156 JN024157 JN024158 JN024493 JN024494 JN024533 JN024534,JX976670  JX976671,100.00,[100 - 100%],0.0007,99.61,27.40,[25 - 29.8%],0.1578,0.03,81.90,[78.6 - 84.8%],0.1584,96.85,0.26
JN024149 JN024150 JN024151 JN024152 JN024153 JN024154 JN024155 JN024156 JN024157 JN024158 JN024493 JN024494 JN024533 JN024534,JX976672-JX976680,99.90,[99.9 - 100%],0.0031,99.59,27.40,[25 - 29.9%],0.1575,0.03,81.60,[78.3 - 84.6%],0.1601,96.66,0.23
JN024149 JN024150 JN024151 JN024152 JN024153 JN024154 JN024155 JN024156 JN024157 JN024158 JN024493 JN024494 JN024533 JN024534,GQ999991,100.00,[100 - 100%],0.0007,99.61,27.10,[24.8 - 29.6%],0.1594,0.03,81.70,[78.3 - 84.6%],0.1599,96.68,0.02
JN024149 JN024150 JN024151 JN024152 JN024153 JN024154 JN024155 JN024156 JN024157 JN024158 JN024493 JN024494 JN024533 JN024534,JX976684  JX976685,100.00,[100 - 100%],0.0012,99.61,27.30,[24.9 - 29.8%],0.1582,0.03,81.80,[78.4 - 84.7%],0.1592,96.77,0.28
JN024149 JN024150 JN024151 JN024152 JN024153 JN024154 JN024155 JN024156 JN024157 JN024158 JN024493 JN024494 JN024533 JN024534,JX976686-JX976693,100.00,[99.9 - 100%],0.0024,99.59,28.20,[25.8 - 30.7%],0.1527,0.05,82.60,[79.2 - 85.4%],0.1547,97.22,0.26
