,,Formula 1,,,,Formula 2,,,,Formula 3,,,,G+C difference
Query genome,Reference genome,DDH,Model C.I.,Distance,Prob. DDH >= 70%,DDH,Model C.I.,Distance,Prob. DDH >= 70%,DDH,Model C.I.,Distance,Prob. DDH >= 70%,
JN024415 JN024416 JN024417 JN024418 JN024419 JN024420 JN024421 JN024554 JN024555 JN024556,JN024203-JN024212,100.00,[100 - NaN%],0.0000,99.62,41.00,[38.5 - 43.5%],0.0962,3.47,92.00,[89.5 - 93.9%],0.0962,99.63,0.47
JN024415 JN024416 JN024417 JN024418 JN024419 JN024420 JN024421 JN024554 JN024555 JN024556,JN024213-JN024222,100.00,[100 - 100%],0.0008,99.61,39.60,[37.1 - 42.1%],0.1008,2.45,91.20,[88.6 - 93.2%],0.1015,99.56,0.40
JN024415 JN024416 JN024417 JN024418 JN024419 JN024420 JN024421 JN024554 JN024555 JN024556,JN024223  JN024224  JN024226  JN024227  JN024228  JN024229  JN024230  JN024231  JN024232  JN024233  JN024234  JN024235  JN024496  JN024497,100.00,[100 - NaN%],0.0000,99.62,39.70,[37.2 - 42.2%],0.1006,2.5,91.30,[88.8 - 93.4%],0.1006,99.57,0.43
JN024415 JN024416 JN024417 JN024418 JN024419 JN024420 JN024421 JN024554 JN024555 JN024556,JN024236  JN024237  JN024238  JN024239  JN024241  JN024242  JN024243  JN024244  JN024511,100.00,[100 - NaN%],0.0000,99.62,39.50,[37 - 42%],0.1012,2.39,91.20,[88.7 - 93.3%],0.1012,99.56,0.45
JN024415 JN024416 JN024417 JN024418 JN024419 JN024420 JN024421 JN024554 JN024555 JN024556,JN024245-JN024254,100.00,[100 - NaN%],0.0000,99.62,39.30,[36.8 - 41.9%],0.1017,2.29,91.20,[88.6 - 93.2%],0.1017,99.55,0.39
JN024415 JN024416 JN024417 JN024418 JN024419 JN024420 JN024421 JN024554 JN024555 JN024556,JN024255-JN024264,100.00,[100 - 100%],0.0013,99.61,39.30,[36.8 - 41.8%],0.1020,2.25,91.00,[88.3 - 93%],0.1031,99.53,0.38
JN024415 JN024416 JN024417 JN024418 JN024419 JN024420 JN024421 JN024554 JN024555 JN024556,JN024512-JN024520,100.00,[100 - NaN%],0.0000,99.62,39.50,[37 - 42%],0.1013,2.37,91.20,[88.6 - 93.3%],0.1013,99.56,0.45
JN024415 JN024416 JN024417 JN024418 JN024419 JN024420 JN024421 JN024554 JN024555 JN024556,JN024265  JN024266  JN024267  JN024268  JN024269  JN024270  JN024271  JN024272  JN024273  JN024521,100.00,[100 - 100%],0.0013,99.61,39.30,[36.8 - 41.8%],0.1018,2.27,91.00,[88.3 - 93.1%],0.1030,99.53,0.44
JN024415 JN024416 JN024417 JN024418 JN024419 JN024420 JN024421 JN024554 JN024555 JN024556,JN024274-JN024282,100.00,[100 - 100%],0.0009,99.61,40.10,[37.6 - 42.7%],0.0990,2.8,91.40,[88.9 - 93.5%],0.0998,99.58,0.19
