,,Formula 1,,,,Formula 2,,,,Formula 3,,,,G+C difference
Query genome,Reference genome,DDH,Model C.I.,Distance,Prob. DDH >= 70%,DDH,Model C.I.,Distance,Prob. DDH >= 70%,DDH,Model C.I.,Distance,Prob. DDH >= 70%,
JN024293-JN024302,JN024303-JN024312,100.00,[100 - NaN%],0.0000,99.62,96.70,[95.5 - 97.6%],0.0046,97.59,100.00,[99.9 - 100%],0.0046,99.99,0.10
JN024293-JN024302,JN024313-JN024321,100.00,[100 - 100%],0.0000,99.62,97.30,[96.2 - 98.1%],0.0039,97.71,100.00,[99.9 - 100%],0.0039,99.99,0.02
JN024293-JN024302,JN024322  JN024323  JN024324  JN024325  JN024326  JN024327  JN024328  JN024329  JN024330  JN024498,100.00,[100 - 100%],0.0007,99.61,97.20,[96.1 - 98%],0.0041,97.69,100.00,[99.9 - 100%],0.0047,99.98,0.07
JN024293-JN024302,JN024331  JN024332  JN024333  JN024334  JN024335  JN024336  JN024337  JN024338  JN024499  JN024500,100.00,[100 - 100%],0.0007,99.61,95.40,[93.9 - 96.6%],0.0061,97.31,99.90,[99.9 - 100%],0.0068,99.98,0.08
JN024293-JN024302,JN024100  JN024101  JN024103  JN024104  JN024105  JN024106  JN024107  JN024108  JN024109,100.00,[100 - 100%],0.0012,99.61,43.60,[41 - 46.1%],0.0883,6.14,92.90,[90.6 - 94.7%],0.0895,99.71,0.00
JN024293-JN024302,JN024110-JN024119,100.00,[100 - NaN%],0.0000,99.62,43.40,[40.9 - 46%],0.0887,5.96,93.00,[90.7 - 94.8%],0.0887,99.72,0.02
JN024293-JN024302,JN024120-JN024129,100.00,[100 - 100%],0.0012,99.61,43.60,[41.1 - 46.2%],0.0882,6.21,92.90,[90.6 - 94.7%],0.0892,99.71,0.04
JN024293-JN024302,JN024130-JN024138,100.00,[100 - NaN%],0.0000,99.62,43.60,[41.1 - 46.2%],0.0881,6.23,93.10,[90.8 - 94.8%],0.0881,99.72,0.01
JN024293-JN024302,JN024139-JN024148,100.00,[100 - 100%],0.0005,99.61,43.90,[41.3 - 46.4%],0.0875,6.55,93.10,[90.8 - 94.9%],0.0879,99.73,0.05
JN024293-JN024302,JN024149  JN024150  JN024151  JN024152  JN024153  JN024154  JN024155  JN024156  JN024157  JN024158  JN024493  JN024494  JN024533  JN024534,100.00,[100 - 100%],0.0006,99.61,43.80,[41.3 - 46.4%],0.0875,6.51,93.10,[90.8 - 94.9%],0.0880,99.72,0.08
