,,Formula 1,,,,Formula 2,,,,Formula 3,,,,G+C difference
Query genome,Reference genome,DDH,Model C.I.,Distance,Prob. DDH >= 70%,DDH,Model C.I.,Distance,Prob. DDH >= 70%,DDH,Model C.I.,Distance,Prob. DDH >= 70%,
JN024130-JN024138,JN024139-JN024148,100.00,[100 - 100%],0.0005,99.61,97.30,[96.2 - 98%],0.0040,97.7,100.00,[99.9 - 100%],0.0045,99.99,0.05
JN024130-JN024138,JN024149  JN024150  JN024151  JN024152  JN024153  JN024154  JN024155  JN024156  JN024157  JN024158  JN024493  JN024494  JN024533  JN024534,100.00,[100 - 100%],0.0005,99.61,97.20,[96 - 98%],0.0041,97.68,100.00,[99.9 - 100%],0.0046,99.99,0.07
JN024130-JN024138,JN024159  JN024160  JN024161  JN024162  JN024163  JN024164  JN024535  JN024536  JN024572,100.00,[100 - 100%],0.0004,99.61,96.80,[95.5 - 97.6%],0.0046,97.6,100.00,[99.9 - 100%],0.0050,99.98,0.02
JN024130-JN024138,JN024165  JN024166  JN024167  JN024168  JN024169  JN024170  JN024171  JN024172  JN024173  JN024495  JN024537,100.00,[100 - 100%],0.0001,99.62,96.50,[95.3 - 97.5%],0.0049,97.55,100.00,[99.9 - 100%],0.0050,99.98,0.02
JN024130-JN024138,JN024174  JN024175  JN024176  JN024177  JN024179  JN024180  JN024181,100.00,[100 - 100%],0.0006,99.61,95.50,[94 - 96.6%],0.0061,97.31,99.90,[99.9 - 100%],0.0067,99.98,0.00
JN024130-JN024138,JN024182  JN024183  JN024184  JN024185  JN024186  JN024524  JN024525  JN024526  JN024527  JN024528,100.00,[100 - 100%],0.0005,99.61,95.30,[93.8 - 96.5%],0.0063,97.28,99.90,[99.9 - 100%],0.0067,99.98,0.02
JN024130-JN024138,JN024187  JN024188  JN024189  JN024190  JN024191  JN024192  JN024529  JN024530  JN024531  JN024532,100.00,[100 - 100%],0.0006,99.61,94.20,[92.5 - 95.6%],0.0075,97.01,99.90,[99.8 - 100%],0.0081,99.98,0.03
JN024130-JN024138,JN024193-JN024202,100.00,[100 - 100%],0.0001,99.62,93.50,[91.6 - 94.9%],0.0083,96.82,99.90,[99.8 - 100%],0.0085,99.98,0.05
JN024130-JN024138,JX976707  JX976708  JX976709,100.00,[99.9 - 100%],0.0017,99.6,26.80,[24.5 - 29.3%],0.1613,0.02,81.20,[77.8 - 84.1%],0.1627,96.36,0.04
JN024130-JN024138,JX976710  JX976711  JX976712  JX976713  JX976715  JX976716,100.00,[99.9 - 100%],0.0029,99.59,26.90,[24.5 - 29.3%],0.1611,0.02,81.00,[77.6 - 84%],0.1636,96.25,0.03
JN024130-JN024138,GQ999974,100.00,[100 - 100%],0.0008,99.61,26.70,[24.4 - 29.2%],0.1618,0.02,81.20,[77.8 - 84.2%],0.1625,96.38,0.12
JN024130-JN024138,JX976717  JX976718  JX976719  JX976720,100.00,[99.9 - 100%],0.0022,99.6,26.80,[24.4 - 29.3%],0.1615,0.02,81.10,[77.7 - 84%],0.1634,96.28,0.13
JN024130-JN024138,JX976721,29.90,[26.6 - 33.5%],0.5140,0.09,34.30,[31.9 - 36.8%],0.1212,0.52,29.40,[26.5 - 32.5%],0.5729,0,0.29
JN024130-JN024138,JX976729  JX976730  JX976731,99.30,[98.6 - 99.6%],0.0157,99.44,28.40,[26 - 30.9%],0.1514,0.05,80.80,[77.4 - 83.8%],0.1648,96.1,0.12
JN024130-JN024138,JX976670  JX976671,100.00,[100 - 100%],0.0008,99.61,27.30,[25 - 29.8%],0.1579,0.03,81.90,[78.6 - 84.8%],0.1585,96.84,0.33
JN024130-JN024138,JX976672-JX976680,99.90,[99.9 - 100%],0.0032,99.59,27.40,[25 - 29.9%],0.1577,0.03,81.60,[78.2 - 84.5%],0.1604,96.63,0.30
JN024130-JN024138,GQ999991,100.00,[100 - 100%],0.0008,99.61,27.10,[24.7 - 29.6%],0.1594,0.03,81.60,[78.3 - 84.6%],0.1602,96.66,0.05
JN024130-JN024138,JX976684  JX976685,100.00,[100 - 100%],0.0012,99.61,27.30,[24.9 - 29.8%],0.1583,0.03,81.80,[78.4 - 84.7%],0.1593,96.76,0.35
JN024130-JN024138,JX976686-JX976693,100.00,[99.9 - 100%],0.0025,99.59,28.00,[25.6 - 30.4%],0.1540,0.04,82.30,[79 - 85.2%],0.1562,97.08,0.33
JN024130-JN024138,JX976681-JX976683,100.00,[100 - 100%],0.0010,99.61,28.50,[26.1 - 31%],0.1506,0.05,83.10,[79.8 - 86%],0.1515,97.51,0.31
JN024130-JN024138,JX976632-JX976641,100.00,[99.9 - 100%],0.0018,99.6,26.00,[23.7 - 28.5%],0.1665,0.02,80.20,[76.8 - 83.2%],0.1681,95.64,0.19
JN024130-JN024138,JX976642,100.00,[100 - 100%],0.0008,99.61,25.90,[23.5 - 28.4%],0.1677,0.01,80.20,[76.8 - 83.2%],0.1684,95.59,0.06
JN024130-JN024138,GQ999983,100.00,[100 - 100%],0.0008,99.61,25.90,[23.5 - 28.4%],0.1677,0.01,80.20,[76.8 - 83.2%],0.1684,95.59,0.06
JN024130-JN024138,JX976646-JX976652,100.00,[100 - 100%],0.0011,99.61,26.30,[23.9 - 28.8%],0.1650,0.02,80.60,[77.2 - 83.6%],0.1659,95.94,0.29
JN024130-JN024138,JX976659-JX976669,100.00,[100 - 100%],0.0013,99.61,26.30,[23.9 - 28.8%],0.1650,0.02,80.60,[77.2 - 83.6%],0.1661,95.92,0.13
