,,Formula 1,,,,Formula 2,,,,Formula 3,,,,G+C difference
Query genome,Reference genome,DDH,Model C.I.,Distance,Prob. DDH >= 70%,DDH,Model C.I.,Distance,Prob. DDH >= 70%,DDH,Model C.I.,Distance,Prob. DDH >= 70%,
JN024386-JN024395,JN024396  JN024397  JN024398  JN024399  JN024400  JN024401  JN024402  JN024403  JN024404  JN024542  JN024543,100.00,[99.9 - 100%],0.0017,99.6,97.80,[96.8 - 98.4%],0.0034,97.81,100.00,[99.9 - 100%],0.0050,99.98,0.03
JN024386-JN024395,JN024405-JN024414,100.00,[100 - NaN%],0.0000,99.62,97.20,[96.1 - 98%],0.0041,97.69,100.00,[99.9 - 100%],0.0041,99.99,0.07
JN024386-JN024395,JN024544-JN024553,100.00,[99.9 - 100%],0.0018,99.6,96.90,[95.7 - 97.8%],0.0044,97.63,99.90,[99.9 - 100%],0.0062,99.98,0.05
JN024386-JN024395,JN024415  JN024416  JN024417  JN024418  JN024419  JN024420  JN024421  JN024554  JN024555  JN024556,100.00,[100 - NaN%],0.0000,99.62,97.00,[95.9 - 97.9%],0.0043,97.65,100.00,[99.9 - 100%],0.0043,99.99,0.05
JN024386-JN024395,JN024203-JN024212,100.00,[100 - NaN%],0.0000,99.62,41.30,[38.8 - 43.8%],0.0952,3.73,92.10,[89.6 - 94%],0.0952,99.65,0.51
JN024386-JN024395,JN024213-JN024222,100.00,[100 - 100%],0.0012,99.61,39.90,[37.4 - 42.4%],0.0998,2.64,91.30,[88.7 - 93.3%],0.1009,99.57,0.45
JN024386-JN024395,JN024223  JN024224  JN024226  JN024227  JN024228  JN024229  JN024230  JN024231  JN024232  JN024233  JN024234  JN024235  JN024496  JN024497,100.00,[100 - NaN%],0.0000,99.62,40.00,[37.5 - 42.5%],0.0996,2.69,91.50,[88.9 - 93.5%],0.0996,99.59,0.48
JN024386-JN024395,JN024236  JN024237  JN024238  JN024239  JN024241  JN024242  JN024243  JN024244  JN024511,100.00,[100 - NaN%],0.0000,99.62,39.80,[37.3 - 42.3%],0.1002,2.57,91.40,[88.8 - 93.4%],0.1002,99.58,0.50
JN024386-JN024395,JN024245-JN024254,100.00,[100 - NaN%],0.0000,99.62,39.60,[37.1 - 42.2%],0.1007,2.47,91.30,[88.7 - 93.3%],0.1007,99.57,0.44
JN024386-JN024395,JN024255-JN024264,100.00,[99.9 - 100%],0.0018,99.6,39.50,[37.1 - 42.1%],0.1010,2.41,91.00,[88.4 - 93.1%],0.1027,99.54,0.43
JN024386-JN024395,JN024512-JN024520,100.00,[100 - NaN%],0.0000,99.62,39.80,[37.3 - 42.3%],0.1003,2.55,91.40,[88.8 - 93.4%],0.1003,99.58,0.50
JN024386-JN024395,JN024265  JN024266  JN024267  JN024268  JN024269  JN024270  JN024271  JN024272  JN024273  JN024521,100.00,[99.9 - 100%],0.0018,99.6,39.60,[37.1 - 42.1%],0.1009,2.44,91.00,[88.4 - 93.1%],0.1025,99.54,0.49
JN024386-JN024395,JN024274-JN024282,100.00,[100 - 100%],0.0012,99.61,40.40,[37.9 - 43%],0.0980,3.01,91.50,[89 - 93.5%],0.0991,99.59,0.23
JN024386-JN024395,JN024284-JN024292,100.00,[100 - 100%],0.0012,99.61,40.60,[38.1 - 43.1%],0.0976,3.12,91.60,[89.1 - 93.6%],0.0987,99.6,0.20
JN024386-JN024395,JN024293-JN024302,100.00,[100 - 100%],0.0012,99.61,40.50,[38 - 43%],0.0978,3.06,91.60,[89 - 93.6%],0.0989,99.6,0.20
JN024386-JN024395,JN024303-JN024312,100.00,[100 - 100%],0.0012,99.61,40.00,[37.5 - 42.5%],0.0994,2.72,91.30,[88.8 - 93.4%],0.1004,99.57,0.30
JN024386-JN024395,JN024313-JN024321,100.00,[100 - 100%],0.0012,99.61,40.50,[38 - 43%],0.0977,3.08,91.60,[89 - 93.6%],0.0989,99.6,0.22
JN024386-JN024395,JN024322  JN024323  JN024324  JN024325  JN024326  JN024327  JN024328  JN024329  JN024330  JN024498,100.00,[99.9 - 100%],0.0018,99.6,40.40,[37.9 - 42.9%],0.0982,2.98,91.40,[88.9 - 93.5%],0.0998,99.58,0.27
JN024386-JN024395,JN024331  JN024332  JN024333  JN024334  JN024335  JN024336  JN024337  JN024338  JN024499  JN024500,100.00,[99.9 - 100%],0.0018,99.6,40.60,[38.1 - 43.1%],0.0975,3.14,91.50,[89 - 93.5%],0.0991,99.59,0.28
JN024386-JN024395,JN024100  JN024101  JN024103  JN024104  JN024105  JN024106  JN024107  JN024108  JN024109,100.00,[100 - 100%],0.0002,99.62,39.60,[37.2 - 42.2%],0.1007,2.48,91.30,[88.7 - 93.3%],0.1008,99.57,0.20
JN024386-JN024395,JN024110-JN024119,100.00,[100 - 100%],0.0012,99.61,39.40,[36.9 - 41.9%],0.1015,2.33,91.00,[88.4 - 93.1%],0.1025,99.54,0.18
JN024386-JN024395,JN024120-JN024129,100.00,[100 - NaN%],0.0000,99.62,39.60,[37.1 - 42.1%],0.1008,2.45,91.30,[88.7 - 93.3%],0.1008,99.57,0.16
JN024386-JN024395,JN024130-JN024138,100.00,[100 - 100%],0.0012,99.61,39.60,[37.2 - 42.2%],0.1007,2.48,91.20,[88.6 - 93.2%],0.1017,99.55,0.19
JN024386-JN024395,JN024139-JN024148,100.00,[100 - NaN%],0.0000,99.62,39.80,[37.3 - 42.3%],0.1001,2.59,91.40,[88.8 - 93.4%],0.1001,99.58,0.15
JN024386-JN024395,JN024149  JN024150  JN024151  JN024152  JN024153  JN024154  JN024155  JN024156  JN024157  JN024158  JN024493  JN024494  JN024533  JN024534,100.00,[100 - 100%],0.0015,99.6,39.70,[37.3 - 42.3%],0.1003,2.55,91.20,[88.6 - 93.2%],0.1017,99.56,0.12
JN024386-JN024395,JN024159  JN024160  JN024161  JN024162  JN024163  JN024164  JN024535  JN024536  JN024572,100.00,[100 - NaN%],0.0000,99.62,39.80,[37.3 - 42.3%],0.1002,2.57,91.40,[88.8 - 93.4%],0.1002,99.58,0.17
JN024386-JN024395,JN024165  JN024166  JN024167  JN024168  JN024169  JN024170  JN024171  JN024172  JN024173  JN024495  JN024537,100.00,[100 - NaN%],0.0000,99.62,40.90,[38.4 - 43.5%],0.0964,3.42,91.90,[89.4 - 93.9%],0.0964,99.63,0.18
JN024386-JN024395,JN024174  JN024175  JN024176  JN024177  JN024179  JN024180  JN024181,100.00,[99.9 - 100%],0.0021,99.6,39.40,[36.9 - 41.9%],0.1016,2.32,90.90,[88.3 - 93%],0.1034,99.53,0.19
JN024386-JN024395,JN024182  JN024183  JN024184  JN024185  JN024186  JN024524  JN024525  JN024526  JN024527  JN024528,100.00,[100 - 100%],0.0001,99.62,41.60,[39.1 - 44.1%],0.0943,3.98,92.20,[89.8 - 94.1%],0.0944,99.66,0.17
JN024386-JN024395,JN024187  JN024188  JN024189  JN024190  JN024191  JN024192  JN024529  JN024530  JN024531  JN024532,100.00,[99.9 - 100%],0.0018,99.6,39.60,[37.1 - 42.1%],0.1009,2.44,91.00,[88.4 - 93.1%],0.1025,99.54,0.16
JN024386-JN024395,JN024193-JN024202,100.00,[100 - 100%],0.0001,99.62,39.20,[36.7 - 41.7%],0.1021,2.22,91.10,[88.5 - 93.2%],0.1022,99.55,0.15
JN024386-JN024395,JX976707  JX976708  JX976709,100.00,[100 - 100%],0.0013,99.61,26.40,[24.1 - 28.9%],0.1641,0.02,80.70,[77.4 - 83.7%],0.1652,96.04,0.24
JN024386-JN024395,JX976710  JX976711  JX976712  JX976713  JX976715  JX976716,100.00,[99.9 - 100%],0.0022,99.6,26.40,[24.1 - 28.9%],0.1639,0.02,80.60,[77.3 - 83.6%],0.1658,95.96,0.23
JN024386-JN024395,GQ999974,100.00,[100 - 100%],0.0009,99.61,26.40,[24 - 28.8%],0.1644,0.02,80.80,[77.4 - 83.7%],0.1651,96.05,0.32
JN024386-JN024395,JX976717  JX976718  JX976719  JX976720,100.00,[99.9 - 100%],0.0017,99.6,26.40,[24.1 - 28.9%],0.1639,0.02,80.70,[77.3 - 83.7%],0.1654,96.02,0.32
JN024386-JN024395,JX976721,67.50,[63.6 - 71.2%],0.1969,67.56,27.70,[25.3 - 30.2%],0.1557,0.04,54.80,[51.7 - 57.9%],0.3219,9.13,0.49
JN024386-JN024395,JX976729  JX976730  JX976731,100.00,[100 - 100%],0.0012,99.61,27.90,[25.5 - 30.4%],0.1545,0.04,82.40,[79.1 - 85.3%],0.1555,97.14,0.32
JN024386-JN024395,JX976670  JX976671,100.00,[100 - 100%],0.0006,99.61,26.90,[24.6 - 29.4%],0.1607,0.03,81.40,[78.1 - 84.4%],0.1612,96.54,0.14
JN024386-JN024395,JX976672-JX976680,100.00,[99.9 - 100%],0.0023,99.6,26.90,[24.6 - 29.4%],0.1606,0.03,81.20,[77.8 - 84.2%],0.1625,96.38,0.11
JN024386-JN024395,GQ999991,100.00,[100 - 100%],0.0009,99.61,26.70,[24.3 - 29.2%],0.1622,0.02,81.10,[77.8 - 84.1%],0.1629,96.33,0.15
JN024386-JN024395,JX976684  JX976685,100.00,[100 - 100%],0.0011,99.61,26.90,[24.5 - 29.4%],0.1610,0.02,81.30,[78 - 84.3%],0.1619,96.46,0.16
JN024386-JN024395,JX976686-JX976693,100.00,[99.9 - 100%],0.0019,99.6,27.60,[25.2 - 30.1%],0.1562,0.04,82.00,[78.7 - 84.9%],0.1578,96.91,0.14
JN024386-JN024395,JX976681-JX976683,100.00,[100 - 100%],0.0008,99.61,27.90,[25.5 - 30.4%],0.1545,0.04,82.50,[79.2 - 85.4%],0.1552,97.18,0.12
JN024386-JN024395,JX976632-JX976641,100.00,[100 - 100%],0.0007,99.61,26.30,[23.9 - 28.8%],0.1650,0.02,80.70,[77.3 - 83.7%],0.1656,95.99,0.01
JN024386-JN024395,JX976642,100.00,[100 - 100%],0.0006,99.61,26.20,[23.9 - 28.7%],0.1654,0.02,80.60,[77.2 - 83.6%],0.1659,95.95,0.26
JN024386-JN024395,GQ999983,100.00,[100 - 100%],0.0006,99.61,26.20,[23.9 - 28.7%],0.1654,0.02,80.60,[77.2 - 83.6%],0.1659,95.95,0.26
JN024386-JN024395,JX976646-JX976652,100.00,[100 - 100%],0.0006,99.61,26.50,[24.1 - 29%],0.1636,0.02,80.90,[77.6 - 83.9%],0.1641,96.18,0.09
JN024386-JN024395,JX976659-JX976669,100.00,[100 - 100%],0.0005,99.61,26.50,[24.1 - 29%],0.1637,0.02,80.90,[77.6 - 83.9%],0.1641,96.19,0.06
