,,Formula 1,,,,Formula 2,,,,Formula 3,,,,G+C difference
Query genome,Reference genome,DDH,Model C.I.,Distance,Prob. DDH >= 70%,DDH,Model C.I.,Distance,Prob. DDH >= 70%,DDH,Model C.I.,Distance,Prob. DDH >= 70%,
JN024245-JN024254,JN024255-JN024264,100.00,[100 - 100%],0.0005,99.61,97.00,[95.8 - 97.8%],0.0043,97.65,100.00,[99.9 - 100%],0.0049,99.98,0.01
JN024245-JN024254,JN024512-JN024520,100.00,[100 - NaN%],0.0000,99.62,96.80,[95.6 - 97.7%],0.0045,97.61,100.00,[99.9 - 100%],0.0045,99.99,0.06
JN024245-JN024254,JN024265  JN024266  JN024267  JN024268  JN024269  JN024270  JN024271  JN024272  JN024273  JN024521,100.00,[100 - 100%],0.0005,99.61,96.40,[95 - 97.3%],0.0051,97.51,100.00,[99.9 - 100%],0.0056,99.98,0.05
JN024245-JN024254,JN024274-JN024282,100.00,[100 - 100%],0.0004,99.61,41.80,[39.3 - 44.3%],0.0937,4.17,92.30,[89.8 - 94.2%],0.0940,99.66,0.21
JN024245-JN024254,JN024284-JN024292,100.00,[100 - 100%],0.0004,99.61,42.00,[39.5 - 44.5%],0.0931,4.35,92.40,[89.9 - 94.2%],0.0934,99.67,0.24
JN024245-JN024254,JN024293-JN024302,100.00,[100 - 100%],0.0003,99.61,41.90,[39.4 - 44.4%],0.0933,4.27,92.30,[89.9 - 94.2%],0.0937,99.66,0.24
JN024245-JN024254,JN024303-JN024312,100.00,[100 - 100%],0.0003,99.61,41.40,[38.9 - 44%],0.0947,3.85,92.10,[89.7 - 94%],0.0951,99.65,0.14
JN024245-JN024254,JN024313-JN024321,100.00,[100 - 100%],0.0004,99.61,41.80,[39.3 - 44.4%],0.0936,4.19,92.30,[89.8 - 94.2%],0.0939,99.66,0.22
JN024245-JN024254,JN024322  JN024323  JN024324  JN024325  JN024326  JN024327  JN024328  JN024329  JN024330  JN024498,100.00,[100 - 100%],0.0005,99.61,41.80,[39.3 - 44.3%],0.0937,4.17,92.30,[89.8 - 94.1%],0.0941,99.66,0.17
JN024245-JN024254,JN024331  JN024332  JN024333  JN024334  JN024335  JN024336  JN024337  JN024338  JN024499  JN024500,100.00,[100 - 100%],0.0005,99.61,41.90,[39.4 - 44.5%],0.0932,4.31,92.30,[89.9 - 94.2%],0.0937,99.66,0.16
