,,Formula 1,,,,Formula 2,,,,Formula 3,,,,G+C difference
Query genome,Reference genome,DDH,Model C.I.,Distance,Prob. DDH >= 70%,DDH,Model C.I.,Distance,Prob. DDH >= 70%,DDH,Model C.I.,Distance,Prob. DDH >= 70%,
JX976672-JX976680,GQ999991,100.00,[100 - 100%],0.0001,99.62,98.20,[97.4 - 98.7%],0.0029,97.89,100.00,[100 - 100%],0.0030,99.99,0.26
JX976672-JX976680,JX976684  JX976685,100.00,[99.9 - 100%],0.0028,99.59,99.00,[98.5 - 99.3%],0.0018,98.06,100.00,[99.9 - 100%],0.0046,99.99,0.05
JX976672-JX976680,JX976686-JX976693,100.00,[100 - 100%],0.0001,99.62,98.30,[97.5 - 98.8%],0.0027,97.92,100.00,[100 - 100%],0.0027,99.99,0.03
JX976672-JX976680,JX976681-JX976683,100.00,[100 - 100%],0.0005,99.61,88.50,[86 - 90.5%],0.0138,95.25,99.70,[99.5 - 99.9%],0.0143,99.98,0.01
JX976672-JX976680,JX976632-JX976641,100.00,[100 - 100%],0.0001,99.62,38.40,[36 - 41%],0.1049,1.8,90.70,[88 - 92.8%],0.1050,99.5,0.12
JX976672-JX976680,JX976642,100.00,[100 - 100%],0.0001,99.62,38.30,[35.9 - 40.9%],0.1052,1.76,90.60,[88 - 92.8%],0.1053,99.5,0.37
JX976672-JX976680,GQ999983,100.00,[100 - 100%],0.0001,99.62,38.30,[35.9 - 40.9%],0.1052,1.76,90.60,[88 - 92.8%],0.1053,99.5,0.37
JX976672-JX976680,JX976646-JX976652,100.00,[99.9 - 100%],0.0022,99.6,38.60,[36.1 - 41.1%],0.1043,1.88,90.50,[87.8 - 92.6%],0.1063,99.48,0.02
JX976672-JX976680,JX976659-JX976669,100.00,[100 - 100%],0.0013,99.61,38.60,[36.1 - 41.1%],0.1042,1.89,90.60,[87.9 - 92.7%],0.1054,99.49,0.17
