,,Formula 1,,,,Formula 2,,,,Formula 3,,,,G+C difference
Query genome,Reference genome,DDH,Model C.I.,Distance,Prob. DDH >= 70%,DDH,Model C.I.,Distance,Prob. DDH >= 70%,DDH,Model C.I.,Distance,Prob. DDH >= 70%,
JX976707 JX976708 JX976709,JX976710  JX976711  JX976712  JX976713  JX976715  JX976716,100.00,[100 - NaN%],0.0000,99.62,99.30,[98.9 - 99.6%],0.0013,98.13,100.00,[100 - 100%],0.0013,99.99,0.01
JX976707 JX976708 JX976709,GQ999974,100.00,[100 - 100%],0.0001,99.62,98.40,[97.6 - 98.9%],0.0026,97.93,100.00,[100 - 100%],0.0027,99.99,0.08
JX976707 JX976708 JX976709,JX976717  JX976718  JX976719  JX976720,100.00,[100 - 100%],0.0000,99.62,97.90,[97 - 98.6%],0.0032,97.84,100.00,[100 - 100%],0.0032,99.99,0.08
JX976707 JX976708 JX976709,JX976721,73.80,[69.8 - 77.4%],0.1636,82.49,98.80,[98.2 - 99.2%],0.0020,98.02,80.70,[77.3 - 83.7%],0.1653,96.02,0.25
JX976707 JX976708 JX976709,JX976729  JX976730  JX976731,100.00,[100 - 100%],0.0000,99.62,98.00,[97.1 - 98.6%],0.0031,97.85,100.00,[100 - 100%],0.0031,99.99,0.08
JX976707 JX976708 JX976709,JX976670  JX976671,100.00,[100 - 100%],0.0011,99.61,42.40,[39.9 - 44.9%],0.0918,4.78,92.40,[90 - 94.3%],0.0928,99.67,0.38
JX976707 JX976708 JX976709,JX976672-JX976680,100.00,[100 - 100%],0.0000,99.62,42.50,[40 - 45%],0.0916,4.87,92.60,[90.2 - 94.5%],0.0916,99.69,0.35
JX976707 JX976708 JX976709,GQ999991,100.00,[100 - 100%],0.0001,99.62,41.90,[39.4 - 44.4%],0.0934,4.25,92.40,[89.9 - 94.2%],0.0934,99.67,0.09
JX976707 JX976708 JX976709,JX976684  JX976685,100.00,[99.9 - 100%],0.0019,99.6,42.30,[39.8 - 44.8%],0.0921,4.68,92.30,[89.9 - 94.2%],0.0938,99.66,0.39
JX976707 JX976708 JX976709,JX976686-JX976693,100.00,[100 - 100%],0.0001,99.62,42.60,[40 - 45.1%],0.0913,4.96,92.60,[90.3 - 94.5%],0.0914,99.69,0.37
JX976707 JX976708 JX976709,JX976681-JX976683,100.00,[100 - 100%],0.0004,99.61,42.30,[39.8 - 44.9%],0.0921,4.69,92.50,[90.1 - 94.4%],0.0924,99.68,0.36
JX976707 JX976708 JX976709,JX976632-JX976641,100.00,[100 - 100%],0.0001,99.62,38.80,[36.3 - 41.3%],0.1035,2,90.90,[88.2 - 93%],0.1036,99.52,0.23
JX976707 JX976708 JX976709,JX976642,100.00,[100 - 100%],0.0001,99.62,38.70,[36.3 - 41.3%],0.1038,1.96,90.80,[88.2 - 92.9%],0.1038,99.52,0.02
JX976707 JX976708 JX976709,GQ999983,100.00,[100 - 100%],0.0001,99.62,38.70,[36.3 - 41.3%],0.1038,1.96,90.80,[88.2 - 92.9%],0.1038,99.52,0.02
JX976707 JX976708 JX976709,JX976646-JX976652,100.00,[100 - 100%],0.0012,99.61,39.10,[36.6 - 41.6%],0.1026,2.14,90.90,[88.2 - 93%],0.1037,99.52,0.33
JX976707 JX976708 JX976709,JX976659-JX976669,100.00,[100 - 100%],0.0006,99.61,39.40,[36.9 - 41.9%],0.1014,2.34,91.10,[88.5 - 93.2%],0.1020,99.55,0.17
