,,Formula 1,,,,Formula 2,,,,Formula 3,,,,G+C difference
Query genome,Reference genome,DDH,Model C.I.,Distance,Prob. DDH >= 70%,DDH,Model C.I.,Distance,Prob. DDH >= 70%,DDH,Model C.I.,Distance,Prob. DDH >= 70%,
JN024331 JN024332 JN024333 JN024334 JN024335 JN024336 JN024337 JN024338 JN024499 JN024500,JN024100  JN024101  JN024103  JN024104  JN024105  JN024106  JN024107  JN024108  JN024109,100.00,[99.9 - 100%],0.0019,99.6,43.60,[41.1 - 46.2%],0.0882,6.22,92.80,[90.5 - 94.6%],0.0899,99.71,0.08
JN024331 JN024332 JN024333 JN024334 JN024335 JN024336 JN024337 JN024338 JN024499 JN024500,JN024110-JN024119,100.00,[100 - 100%],0.0006,99.61,43.50,[41 - 46%],0.0886,6.05,93.00,[90.6 - 94.7%],0.0891,99.71,0.10
JN024331 JN024332 JN024333 JN024334 JN024335 JN024336 JN024337 JN024338 JN024499 JN024500,JN024120-JN024129,100.00,[99.9 - 100%],0.0018,99.6,43.70,[41.1 - 46.2%],0.0880,6.29,92.90,[90.5 - 94.7%],0.0897,99.71,0.12
JN024331 JN024332 JN024333 JN024334 JN024335 JN024336 JN024337 JN024338 JN024499 JN024500,JN024130-JN024138,100.00,[100 - 100%],0.0006,99.61,43.70,[41.2 - 46.3%],0.0879,6.33,93.00,[90.7 - 94.8%],0.0884,99.72,0.09
JN024331 JN024332 JN024333 JN024334 JN024335 JN024336 JN024337 JN024338 JN024499 JN024500,JN024139-JN024148,100.00,[100 - 100%],0.0009,99.61,44.00,[41.4 - 46.5%],0.0872,6.67,93.10,[90.8 - 94.9%],0.0880,99.72,0.14
JN024331 JN024332 JN024333 JN024334 JN024335 JN024336 JN024337 JN024338 JN024499 JN024500,JN024149  JN024150  JN024151  JN024152  JN024153  JN024154  JN024155  JN024156  JN024157  JN024158  JN024493  JN024494  JN024533  JN024534,100.00,[100 - NaN%],0.0000,99.62,44.00,[41.4 - 46.5%],0.0871,6.69,93.20,[90.9 - 95%],0.0871,99.73,0.16
JN024331 JN024332 JN024333 JN024334 JN024335 JN024336 JN024337 JN024338 JN024499 JN024500,JN024159  JN024160  JN024161  JN024162  JN024163  JN024164  JN024535  JN024536  JN024572,100.00,[100 - 100%],0.0006,99.61,43.80,[41.3 - 46.4%],0.0875,6.52,93.10,[90.8 - 94.9%],0.0881,99.72,0.11
JN024331 JN024332 JN024333 JN024334 JN024335 JN024336 JN024337 JN024338 JN024499 JN024500,JN024165  JN024166  JN024167  JN024168  JN024169  JN024170  JN024171  JN024172  JN024173  JN024495  JN024537,100.00,[100 - 100%],0.0002,99.62,45.40,[42.9 - 48%],0.0831,8.89,93.70,[91.5 - 95.4%],0.0833,99.77,0.10
JN024331 JN024332 JN024333 JN024334 JN024335 JN024336 JN024337 JN024338 JN024499 JN024500,JN024174  JN024175  JN024176  JN024177  JN024179  JN024180  JN024181,100.00,[100 - 100%],0.0000,99.62,43.40,[40.9 - 46%],0.0887,6,93.00,[90.7 - 94.8%],0.0887,99.72,0.09
JN024331 JN024332 JN024333 JN024334 JN024335 JN024336 JN024337 JN024338 JN024499 JN024500,JN024182  JN024183  JN024184  JN024185  JN024186  JN024524  JN024525  JN024526  JN024527  JN024528,100.00,[100 - 100%],0.0007,99.61,45.80,[43.2 - 48.4%],0.0822,9.52,93.80,[91.6 - 95.4%],0.0828,99.77,0.11
JN024331 JN024332 JN024333 JN024334 JN024335 JN024336 JN024337 JN024338 JN024499 JN024500,JN024187  JN024188  JN024189  JN024190  JN024191  JN024192  JN024529  JN024530  JN024531  JN024532,100.00,[100 - NaN%],0.0000,99.62,43.60,[41.1 - 46.2%],0.0881,6.25,93.10,[90.8 - 94.9%],0.0881,99.72,0.12
JN024331 JN024332 JN024333 JN024334 JN024335 JN024336 JN024337 JN024338 JN024499 JN024500,JN024193-JN024202,100.00,[100 - 100%],0.0002,99.62,43.20,[40.7 - 45.7%],0.0894,5.68,92.90,[90.5 - 94.7%],0.0896,99.71,0.13
JN024331 JN024332 JN024333 JN024334 JN024335 JN024336 JN024337 JN024338 JN024499 JN024500,JX976707  JX976708  JX976709,99.90,[99.7 - 99.9%],0.0058,99.56,27.50,[25.2 - 30%],0.1566,0.03,81.40,[78 - 84.3%],0.1615,96.5,0.04
JN024331 JN024332 JN024333 JN024334 JN024335 JN024336 JN024337 JN024338 JN024499 JN024500,JX976710  JX976711  JX976712  JX976713  JX976715  JX976716,99.80,[99.6 - 99.9%],0.0065,99.55,28.00,[25.6 - 30.5%],0.1540,0.04,81.70,[78.4 - 84.7%],0.1595,96.74,0.05
JN024331 JN024332 JN024333 JN024334 JN024335 JN024336 JN024337 JN024338 JN024499 JN024500,GQ999974,99.90,[99.7 - 99.9%],0.0056,99.56,27.10,[24.7 - 29.6%],0.1594,0.03,80.90,[77.5 - 83.9%],0.1642,96.17,0.04
JN024331 JN024332 JN024333 JN024334 JN024335 JN024336 JN024337 JN024338 JN024499 JN024500,JX976717  JX976718  JX976719  JX976720,99.80,[99.6 - 99.9%],0.0062,99.56,27.70,[25.4 - 30.2%],0.1555,0.04,81.50,[78.2 - 84.5%],0.1607,96.6,0.04
JN024331 JN024332 JN024333 JN024334 JN024335 JN024336 JN024337 JN024338 JN024499 JN024500,JX976721,67.30,[63.4 - 70.9%],0.1980,66.95,27.70,[25.4 - 30.2%],0.1555,0.04,54.70,[51.6 - 57.8%],0.3228,8.89,0.21
JN024331 JN024332 JN024333 JN024334 JN024335 JN024336 JN024337 JN024338 JN024499 JN024500,JX976729  JX976730  JX976731,99.00,[98.2 - 99.5%],0.0188,99.4,28.30,[25.9 - 30.8%],0.1519,0.05,80.30,[76.9 - 83.3%],0.1678,95.68,0.04
