,,Formula 1,,,,Formula 2,,,,Formula 3,,,,G+C difference
Query genome,Reference genome,DDH,Model C.I.,Distance,Prob. DDH >= 70%,DDH,Model C.I.,Distance,Prob. DDH >= 70%,DDH,Model C.I.,Distance,Prob. DDH >= 70%,
JN024213-JN024222,JN024223  JN024224  JN024226  JN024227  JN024228  JN024229  JN024230  JN024231  JN024232  JN024233  JN024234  JN024235  JN024496  JN024497,100.00,[100 - 100%],0.0014,99.61,98.30,[97.6 - 98.9%],0.0026,97.93,100.00,[99.9 - 100%],0.0040,99.99,0.03
JN024213-JN024222,JN024236  JN024237  JN024238  JN024239  JN024241  JN024242  JN024243  JN024244  JN024511,100.00,[100 - 100%],0.0005,99.61,97.70,[96.7 - 98.3%],0.0035,97.78,100.00,[99.9 - 100%],0.0040,99.99,0.06
JN024213-JN024222,JN024245-JN024254,100.00,[100 - 100%],0.0003,99.61,97.40,[96.3 - 98.2%],0.0038,97.73,100.00,[99.9 - 100%],0.0042,99.99,0.00
JN024213-JN024222,JN024255-JN024264,100.00,[100 - 100%],0.0006,99.61,97.30,[96.2 - 98.1%],0.0040,97.71,100.00,[99.9 - 100%],0.0046,99.99,0.01
JN024213-JN024222,JN024512-JN024520,100.00,[100 - 100%],0.0011,99.61,97.40,[96.3 - 98.1%],0.0039,97.72,100.00,[99.9 - 100%],0.0050,99.98,0.05
JN024213-JN024222,JN024265  JN024266  JN024267  JN024268  JN024269  JN024270  JN024271  JN024272  JN024273  JN024521,100.00,[100 - 100%],0.0006,99.61,96.90,[95.7 - 97.8%],0.0044,97.63,100.00,[99.9 - 100%],0.0050,99.98,0.04
JN024213-JN024222,JN024274-JN024282,100.00,[100 - 100%],0.0000,99.62,42.20,[39.7 - 44.8%],0.0923,4.59,92.50,[90.1 - 94.4%],0.0923,99.68,0.21
JN024213-JN024222,JN024284-JN024292,100.00,[100 - 100%],0.0000,99.62,42.40,[39.9 - 45%],0.0918,4.79,92.60,[90.2 - 94.4%],0.0918,99.69,0.25
JN024213-JN024222,JN024293-JN024302,100.00,[100 - 100%],0.0000,99.62,42.30,[39.8 - 44.9%],0.0920,4.7,92.50,[90.2 - 94.4%],0.0920,99.68,0.25
