,,Formula 1,,,,Formula 2,,,,Formula 3,,,,G+C difference
Query genome,Reference genome,DDH,Model C.I.,Distance,Prob. DDH >= 70%,DDH,Model C.I.,Distance,Prob. DDH >= 70%,DDH,Model C.I.,Distance,Prob. DDH >= 70%,
JN024376-JN024385,JN024386-JN024395,100.00,[99.9 - 100%],0.0018,99.6,97.40,[96.3 - 98.1%],0.0038,97.73,100.00,[99.9 - 100%],0.0056,99.98,0.08
JN024376-JN024385,JN024396  JN024397  JN024398  JN024399  JN024400  JN024401  JN024402  JN024403  JN024404  JN024542  JN024543,100.00,[100 - 100%],0.0000,99.62,97.20,[96.2 - 98%],0.0040,97.7,100.00,[99.9 - 100%],0.0041,99.99,0.04
JN024376-JN024385,JN024405-JN024414,100.00,[99.9 - 100%],0.0018,99.6,96.70,[95.4 - 97.6%],0.0047,97.58,99.90,[99.9 - 100%],0.0065,99.98,0.01
JN024376-JN024385,JN024544-JN024553,100.00,[100 - NaN%],0.0000,99.62,96.30,[94.9 - 97.3%],0.0052,97.49,100.00,[99.9 - 100%],0.0052,99.98,0.03
JN024376-JN024385,JN024415  JN024416  JN024417  JN024418  JN024419  JN024420  JN024421  JN024554  JN024555  JN024556,100.00,[100 - 100%],0.0013,99.61,95.90,[94.4 - 96.9%],0.0056,97.4,99.90,[99.9 - 100%],0.0069,99.98,0.03
JN024376-JN024385,JN024203-JN024212,100.00,[100 - 100%],0.0011,99.61,41.10,[38.6 - 43.6%],0.0959,3.54,91.90,[89.4 - 93.8%],0.0969,99.62,0.44
JN024376-JN024385,JN024213-JN024222,100.00,[100 - 100%],0.0006,99.61,39.70,[37.2 - 42.2%],0.1006,2.49,91.30,[88.7 - 93.3%],0.1011,99.56,0.37
JN024376-JN024385,JN024223  JN024224  JN024226  JN024227  JN024228  JN024229  JN024230  JN024231  JN024232  JN024233  JN024234  JN024235  JN024496  JN024497,100.00,[99.9 - 100%],0.0021,99.6,39.70,[37.2 - 42.2%],0.1005,2.51,91.10,[88.4 - 93.1%],0.1024,99.54,0.40
JN024376-JN024385,JN024236  JN024237  JN024238  JN024239  JN024241  JN024242  JN024243  JN024244  JN024511,100.00,[100 - 100%],0.0008,99.61,39.50,[37.1 - 42.1%],0.1010,2.42,91.20,[88.6 - 93.2%],0.1017,99.56,0.42
JN024376-JN024385,JN024245-JN024254,100.00,[100 - 100%],0.0005,99.61,39.40,[36.9 - 41.9%],0.1016,2.31,91.10,[88.5 - 93.2%],0.1021,99.55,0.36
JN024376-JN024385,JN024255-JN024264,100.00,[100 - NaN%],0.0000,99.62,39.30,[36.9 - 41.9%],0.1017,2.3,91.20,[88.6 - 93.2%],0.1017,99.56,0.36
JN024376-JN024385,JN024512-JN024520,100.00,[99.9 - 100%],0.0017,99.6,39.50,[37 - 42%],0.1013,2.37,91.00,[88.4 - 93.1%],0.1028,99.54,0.42
JN024376-JN024385,JN024265  JN024266  JN024267  JN024268  JN024269  JN024270  JN024271  JN024272  JN024273  JN024521,100.00,[100 - 100%],0.0000,99.62,39.40,[36.9 - 41.9%],0.1015,2.32,91.20,[88.6 - 93.2%],0.1015,99.56,0.41
JN024376-JN024385,JN024274-JN024282,100.00,[100 - 100%],0.0006,99.61,40.10,[37.6 - 42.7%],0.0990,2.8,91.50,[88.9 - 93.5%],0.0996,99.59,0.16
JN024376-JN024385,JN024284-JN024292,100.00,[100 - 100%],0.0006,99.61,40.30,[37.8 - 42.8%],0.0986,2.9,91.50,[89 - 93.5%],0.0991,99.59,0.12
JN024376-JN024385,JN024293-JN024302,100.00,[100 - 100%],0.0007,99.61,40.20,[37.7 - 42.7%],0.0988,2.85,91.50,[89 - 93.5%],0.0994,99.59,0.12
JN024376-JN024385,JN024303-JN024312,100.00,[100 - 100%],0.0006,99.61,39.70,[37.2 - 42.3%],0.1004,2.53,91.30,[88.7 - 93.3%],0.1009,99.57,0.22
JN024376-JN024385,JN024313-JN024321,100.00,[100 - 100%],0.0006,99.61,40.20,[37.7 - 42.7%],0.0987,2.86,91.50,[89 - 93.5%],0.0993,99.59,0.14
JN024376-JN024385,JN024322  JN024323  JN024324  JN024325  JN024326  JN024327  JN024328  JN024329  JN024330  JN024498,100.00,[100 - NaN%],0.0000,99.62,40.10,[37.6 - 42.6%],0.0991,2.79,91.60,[89 - 93.6%],0.0991,99.59,0.19
JN024376-JN024385,JN024331  JN024332  JN024333  JN024334  JN024335  JN024336  JN024337  JN024338  JN024499  JN024500,100.00,[100 - NaN%],0.0000,99.62,40.30,[37.9 - 42.9%],0.0983,2.95,91.70,[89.1 - 93.6%],0.0983,99.6,0.20
JN024376-JN024385,JN024100  JN024101  JN024103  JN024104  JN024105  JN024106  JN024107  JN024108  JN024109,100.00,[99.9 - 100%],0.0019,99.6,39.40,[36.9 - 41.9%],0.1016,2.31,90.90,[88.3 - 93%],0.1033,99.53,0.12
JN024376-JN024385,JN024110-JN024119,100.00,[100 - 100%],0.0006,99.61,39.20,[36.7 - 41.7%],0.1022,2.21,91.00,[88.4 - 93.1%],0.1027,99.54,0.11
JN024376-JN024385,JN024120-JN024129,100.00,[99.9 - 100%],0.0018,99.6,39.30,[36.9 - 41.9%],0.1017,2.3,90.90,[88.3 - 93%],0.1033,99.53,0.08
JN024376-JN024385,JN024130-JN024138,100.00,[100 - 100%],0.0006,99.61,39.40,[36.9 - 41.9%],0.1014,2.34,91.10,[88.5 - 93.2%],0.1020,99.55,0.12
JN024376-JN024385,JN024139-JN024148,100.00,[100 - 100%],0.0009,99.61,39.60,[37.1 - 42.1%],0.1007,2.46,91.20,[88.6 - 93.2%],0.1015,99.56,0.07
JN024376-JN024385,JN024149  JN024150  JN024151  JN024152  JN024153  JN024154  JN024155  JN024156  JN024157  JN024158  JN024493  JN024494  JN024533  JN024534,100.00,[100 - NaN%],0.0000,99.62,39.60,[37.1 - 42.1%],0.1008,2.45,91.30,[88.7 - 93.3%],0.1008,99.57,0.05
JN024376-JN024385,JN024159  JN024160  JN024161  JN024162  JN024163  JN024164  JN024535  JN024536  JN024572,100.00,[100 - 100%],0.0006,99.61,39.50,[37.1 - 42.1%],0.1010,2.42,91.20,[88.6 - 93.2%],0.1015,99.56,0.10
