,,Formula 1,,,,Formula 2,,,,Formula 3,,,,G+C difference
Query genome,Reference genome,DDH,Model C.I.,Distance,Prob. DDH >= 70%,DDH,Model C.I.,Distance,Prob. DDH >= 70%,DDH,Model C.I.,Distance,Prob. DDH >= 70%,
JN024174 JN024175 JN024176 JN024177 JN024179 JN024180 JN024181,JN024182  JN024183  JN024184  JN024185  JN024186  JN024524  JN024525  JN024526  JN024527  JN024528,100.00,[100 - 100%],0.0008,99.61,95.10,[93.6 - 96.3%],0.0065,97.24,99.90,[99.8 - 100%],0.0073,99.98,0.02
JN024174 JN024175 JN024176 JN024177 JN024179 JN024180 JN024181,JN024187  JN024188  JN024189  JN024190  JN024191  JN024192  JN024529  JN024530  JN024531  JN024532,100.00,[100 - 100%],0.0000,99.62,94.00,[92.2 - 95.4%],0.0078,96.96,99.90,[99.8 - 100%],0.0078,99.98,0.03
JN024174 JN024175 JN024176 JN024177 JN024179 JN024180 JN024181,JN024193-JN024202,100.00,[100 - 100%],0.0002,99.62,93.50,[91.6 - 94.9%],0.0083,96.83,99.90,[99.8 - 100%],0.0085,99.98,0.04
JN024174 JN024175 JN024176 JN024177 JN024179 JN024180 JN024181,JX976707  JX976708  JX976709,100.00,[99.9 - 100%],0.0024,99.6,26.70,[24.3 - 29.2%],0.1622,0.02,80.90,[77.5 - 83.9%],0.1642,96.17,0.05
JN024174 JN024175 JN024176 JN024177 JN024179 JN024180 JN024181,JX976710  JX976711  JX976712  JX976713  JX976715  JX976716,99.90,[99.8 - 100%],0.0040,99.58,26.70,[24.4 - 29.2%],0.1620,0.02,80.70,[77.3 - 83.7%],0.1653,96.03,0.04
JN024174 JN024175 JN024176 JN024177 JN024179 JN024180 JN024181,GQ999974,100.00,[100 - 100%],0.0012,99.61,26.60,[24.3 - 29.1%],0.1628,0.02,81.00,[77.6 - 84%],0.1638,96.22,0.13
JN024174 JN024175 JN024176 JN024177 JN024179 JN024180 JN024181,JX976717  JX976718  JX976719  JX976720,99.90,[99.9 - 100%],0.0031,99.59,26.70,[24.3 - 29.2%],0.1623,0.02,80.80,[77.4 - 83.8%],0.1648,96.09,0.13
JN024174 JN024175 JN024176 JN024177 JN024179 JN024180 JN024181,JX976721,36.40,[33 - 39.9%],0.4310,0.66,31.60,[29.2 - 34.1%],0.1337,0.2,34.30,[31.4 - 37.4%],0.5071,0.02,0.30
JN024174 JN024175 JN024176 JN024177 JN024179 JN024180 JN024181,JX976729  JX976730  JX976731,100.00,[99.9 - 100%],0.0022,99.6,28.10,[25.7 - 30.5%],0.1534,0.04,82.50,[79.1 - 85.4%],0.1553,97.17,0.12
JN024174 JN024175 JN024176 JN024177 JN024179 JN024180 JN024181,JX976670  JX976671,100.00,[100 - 100%],0.0012,99.61,27.20,[24.9 - 29.7%],0.1587,0.03,81.70,[78.3 - 84.6%],0.1597,96.71,0.33
JN024174 JN024175 JN024176 JN024177 JN024179 JN024180 JN024181,JX976672-JX976680,99.90,[99.8 - 100%],0.0043,99.58,27.20,[24.9 - 29.7%],0.1585,0.03,81.30,[77.9 - 84.2%],0.1621,96.43,0.30
JN024174 JN024175 JN024176 JN024177 JN024179 JN024180 JN024181,GQ999991,100.00,[100 - 100%],0.0012,99.61,27.00,[24.6 - 29.4%],0.1604,0.03,81.40,[78 - 84.3%],0.1614,96.51,0.05
JN024174 JN024175 JN024176 JN024177 JN024179 JN024180 JN024181,JX976684  JX976685,100.00,[99.9 - 100%],0.0016,99.6,27.20,[24.8 - 29.6%],0.1591,0.03,81.60,[78.2 - 84.5%],0.1604,96.63,0.35
JN024174 JN024175 JN024176 JN024177 JN024179 JN024180 JN024181,JX976686-JX976693,99.90,[99.8 - 100%],0.0035,99.58,27.80,[25.4 - 30.3%],0.1553,0.04,82.00,[78.6 - 84.9%],0.1582,96.87,0.33
JN024174 JN024175 JN024176 JN024177 JN024179 JN024180 JN024181,JX976681-JX976683,100.00,[100 - 100%],0.0014,99.6,28.40,[26 - 30.9%],0.1515,0.05,82.90,[79.6 - 85.8%],0.1527,97.4,0.31
JN024174 JN024175 JN024176 JN024177 JN024179 JN024180 JN024181,JX976632-JX976641,100.00,[99.9 - 100%],0.0028,99.59,26.00,[23.7 - 28.5%],0.1669,0.02,80.00,[76.6 - 83.1%],0.1692,95.47,0.18
JN024174 JN024175 JN024176 JN024177 JN024179 JN024180 JN024181,JX976642,100.00,[100 - 100%],0.0012,99.61,25.80,[23.5 - 28.3%],0.1680,0.01,80.10,[76.7 - 83.1%],0.1690,95.5,0.07
JN024174 JN024175 JN024176 JN024177 JN024179 JN024180 JN024181,GQ999983,100.00,[100 - 100%],0.0012,99.61,25.80,[23.5 - 28.3%],0.1680,0.01,80.10,[76.7 - 83.1%],0.1690,95.5,0.07
JN024174 JN024175 JN024176 JN024177 JN024179 JN024180 JN024181,JX976646-JX976652,100.00,[99.9 - 100%],0.0019,99.6,26.20,[23.8 - 28.7%],0.1657,0.02,80.40,[77 - 83.4%],0.1673,95.75,0.28
JN024174 JN024175 JN024176 JN024177 JN024179 JN024180 JN024181,JX976659-JX976669,100.00,[99.9 - 100%],0.0022,99.6,26.20,[23.9 - 28.7%],0.1653,0.02,80.40,[77 - 83.4%],0.1672,95.77,0.13
