,,Formula 1,,,,Formula 2,,,,Formula 3,,,,G+C difference
Query genome,Reference genome,DDH,Model C.I.,Distance,Prob. DDH >= 70%,DDH,Model C.I.,Distance,Prob. DDH >= 70%,DDH,Model C.I.,Distance,Prob. DDH >= 70%,
JN024236 JN024237 JN024238 JN024239 JN024241 JN024242 JN024243 JN024244 JN024511,JN024245-JN024254,100.00,[100 - NaN%],0.0000,99.62,96.80,[95.6 - 97.7%],0.0046,97.6,100.00,[99.9 - 100%],0.0046,99.99,0.06
JN024236 JN024237 JN024238 JN024239 JN024241 JN024242 JN024243 JN024244 JN024511,JN024255-JN024264,100.00,[100 - 100%],0.0008,99.61,96.70,[95.4 - 97.6%],0.0047,97.58,100.00,[99.9 - 100%],0.0055,99.98,0.07
JN024236 JN024237 JN024238 JN024239 JN024241 JN024242 JN024243 JN024244 JN024511,JN024512-JN024520,100.00,[100 - NaN%],0.0000,99.62,96.70,[95.5 - 97.6%],0.0046,97.59,100.00,[99.9 - 100%],0.0046,99.99,0.00
JN024236 JN024237 JN024238 JN024239 JN024241 JN024242 JN024243 JN024244 JN024511,JN024265  JN024266  JN024267  JN024268  JN024269  JN024270  JN024271  JN024272  JN024273  JN024521,100.00,[100 - 100%],0.0008,99.61,96.30,[95 - 97.3%],0.0051,97.5,100.00,[99.9 - 100%],0.0059,99.98,0.01
JN024236 JN024237 JN024238 JN024239 JN024241 JN024242 JN024243 JN024244 JN024511,JN024274-JN024282,100.00,[100 - 100%],0.0005,99.61,42.20,[39.7 - 44.7%],0.0924,4.56,92.40,[90 - 94.3%],0.0929,99.67,0.27
JN024236 JN024237 JN024238 JN024239 JN024241 JN024242 JN024243 JN024244 JN024511,JN024284-JN024292,100.00,[100 - 100%],0.0005,99.61,42.40,[39.9 - 44.9%],0.0918,4.76,92.50,[90.1 - 94.4%],0.0923,99.68,0.30
JN024236 JN024237 JN024238 JN024239 JN024241 JN024242 JN024243 JN024244 JN024511,JN024293-JN024302,100.00,[100 - 100%],0.0005,99.61,42.30,[39.8 - 44.8%],0.0921,4.68,92.50,[90.1 - 94.3%],0.0925,99.68,0.30
JN024236 JN024237 JN024238 JN024239 JN024241 JN024242 JN024243 JN024244 JN024511,JN024303-JN024312,100.00,[100 - 100%],0.0005,99.61,41.80,[39.3 - 44.4%],0.0935,4.22,92.30,[89.8 - 94.2%],0.0939,99.66,0.20
JN024236 JN024237 JN024238 JN024239 JN024241 JN024242 JN024243 JN024244 JN024511,JN024313-JN024321,100.00,[100 - 100%],0.0005,99.61,42.20,[39.7 - 44.8%],0.0924,4.59,92.40,[90 - 94.3%],0.0928,99.67,0.28
JN024236 JN024237 JN024238 JN024239 JN024241 JN024242 JN024243 JN024244 JN024511,JN024322  JN024323  JN024324  JN024325  JN024326  JN024327  JN024328  JN024329  JN024330  JN024498,100.00,[100 - 100%],0.0008,99.61,42.20,[39.7 - 44.7%],0.0924,4.57,92.40,[90 - 94.3%],0.0931,99.67,0.23
JN024236 JN024237 JN024238 JN024239 JN024241 JN024242 JN024243 JN024244 JN024511,JN024331  JN024332  JN024333  JN024334  JN024335  JN024336  JN024337  JN024338  JN024499  JN024500,100.00,[100 - 100%],0.0008,99.61,42.30,[39.8 - 44.9%],0.0920,4.72,92.50,[90.1 - 94.3%],0.0927,99.68,0.22
JN024236 JN024237 JN024238 JN024239 JN024241 JN024242 JN024243 JN024244 JN024511,JN024100  JN024101  JN024103  JN024104  JN024105  JN024106  JN024107  JN024108  JN024109,100.00,[100 - 100%],0.0002,99.62,43.90,[41.4 - 46.5%],0.0874,6.6,93.20,[90.9 - 94.9%],0.0875,99.73,0.30
JN024236 JN024237 JN024238 JN024239 JN024241 JN024242 JN024243 JN024244 JN024511,JN024110-JN024119,100.00,[100 - 100%],0.0005,99.61,43.70,[41.2 - 46.3%],0.0878,6.37,93.10,[90.8 - 94.8%],0.0883,99.72,0.32
JN024236 JN024237 JN024238 JN024239 JN024241 JN024242 JN024243 JN024244 JN024511,JN024120-JN024129,100.00,[100 - NaN%],0.0000,99.62,43.90,[41.4 - 46.5%],0.0873,6.63,93.20,[90.9 - 94.9%],0.0873,99.73,0.34
JN024236 JN024237 JN024238 JN024239 JN024241 JN024242 JN024243 JN024244 JN024511,JN024130-JN024138,100.00,[100 - 100%],0.0005,99.61,43.50,[41 - 46.1%],0.0885,6.09,93.00,[90.7 - 94.8%],0.0889,99.72,0.31
JN024236 JN024237 JN024238 JN024239 JN024241 JN024242 JN024243 JN024244 JN024511,JN024139-JN024148,100.00,[100 - NaN%],0.0000,99.62,43.90,[41.4 - 46.5%],0.0874,6.59,93.20,[90.9 - 94.9%],0.0874,99.73,0.36
JN024236 JN024237 JN024238 JN024239 JN024241 JN024242 JN024243 JN024244 JN024511,JN024149  JN024150  JN024151  JN024152  JN024153  JN024154  JN024155  JN024156  JN024157  JN024158  JN024493  JN024494  JN024533  JN024534,100.00,[100 - 100%],0.0006,99.61,43.80,[41.2 - 46.3%],0.0877,6.42,93.10,[90.8 - 94.8%],0.0883,99.72,0.38
JN024236 JN024237 JN024238 JN024239 JN024241 JN024242 JN024243 JN024244 JN024511,JN024159  JN024160  JN024161  JN024162  JN024163  JN024164  JN024535  JN024536  JN024572,100.00,[100 - NaN%],0.0000,99.62,43.70,[41.2 - 46.3%],0.0879,6.32,93.10,[90.8 - 94.9%],0.0879,99.72,0.33
JN024236 JN024237 JN024238 JN024239 JN024241 JN024242 JN024243 JN024244 JN024511,JN024165  JN024166  JN024167  JN024168  JN024169  JN024170  JN024171  JN024172  JN024173  JN024495  JN024537,100.00,[100 - NaN%],0.0000,99.62,45.20,[42.6 - 47.7%],0.0838,8.47,93.70,[91.5 - 95.3%],0.0838,99.76,0.32
JN024236 JN024237 JN024238 JN024239 JN024241 JN024242 JN024243 JN024244 JN024511,JN024174  JN024175  JN024176  JN024177  JN024179  JN024180  JN024181,100.00,[100 - 100%],0.0009,99.61,43.40,[40.9 - 45.9%],0.0888,5.93,92.90,[90.5 - 94.7%],0.0896,99.71,0.31
JN024236 JN024237 JN024238 JN024239 JN024241 JN024242 JN024243 JN024244 JN024511,JN024182  JN024183  JN024184  JN024185  JN024186  JN024524  JN024525  JN024526  JN024527  JN024528,100.00,[100 - 100%],0.0001,99.62,45.50,[42.9 - 48.1%],0.0829,9.04,93.80,[91.6 - 95.4%],0.0830,99.77,0.33
JN024236 JN024237 JN024238 JN024239 JN024241 JN024242 JN024243 JN024244 JN024511,JN024187  JN024188  JN024189  JN024190  JN024191  JN024192  JN024529  JN024530  JN024531  JN024532,100.00,[100 - 100%],0.0008,99.61,43.20,[40.7 - 45.7%],0.0894,5.68,92.80,[90.5 - 94.6%],0.0901,99.7,0.34
JN024236 JN024237 JN024238 JN024239 JN024241 JN024242 JN024243 JN024244 JN024511,JN024193-JN024202,100.00,[100 - 100%],0.0000,99.62,43.00,[40.5 - 45.6%],0.0899,5.49,92.80,[90.5 - 94.6%],0.0899,99.7,0.35
JN024236 JN024237 JN024238 JN024239 JN024241 JN024242 JN024243 JN024244 JN024511,JX976707  JX976708  JX976709,100.00,[100 - 100%],0.0013,99.61,26.50,[24.1 - 28.9%],0.1638,0.02,80.80,[77.4 - 83.8%],0.1648,96.09,0.26
JN024236 JN024237 JN024238 JN024239 JN024241 JN024242 JN024243 JN024244 JN024511,JX976710  JX976711  JX976712  JX976713  JX976715  JX976716,100.00,[99.9 - 100%],0.0022,99.6,26.50,[24.2 - 29%],0.1634,0.02,80.70,[77.3 - 83.7%],0.1652,96.03,0.27
JN024236 JN024237 JN024238 JN024239 JN024241 JN024242 JN024243 JN024244 JN024511,GQ999974,100.00,[100 - 100%],0.0008,99.61,26.40,[24 - 28.8%],0.1645,0.02,80.80,[77.4 - 83.7%],0.1651,96.05,0.18
JN024236 JN024237 JN024238 JN024239 JN024241 JN024242 JN024243 JN024244 JN024511,JX976717  JX976718  JX976719  JX976720,100.00,[99.9 - 100%],0.0017,99.6,26.40,[24 - 28.8%],0.1644,0.02,80.60,[77.2 - 83.6%],0.1658,95.95,0.18
JN024236 JN024237 JN024238 JN024239 JN024241 JN024242 JN024243 JN024244 JN024511,JX976721,68.20,[64.3 - 71.9%],0.1931,69.59,28.00,[25.6 - 30.5%],0.1537,0.04,55.50,[52.4 - 58.7%],0.3171,10.64,0.01
JN024236 JN024237 JN024238 JN024239 JN024241 JN024242 JN024243 JN024244 JN024511,JX976729  JX976730  JX976731,100.00,[100 - 100%],0.0012,99.61,27.50,[25.2 - 30%],0.1566,0.03,82.10,[78.7 - 85%],0.1576,96.93,0.18
JN024236 JN024237 JN024238 JN024239 JN024241 JN024242 JN024243 JN024244 JN024511,JX976670  JX976671,100.00,[100 - 100%],0.0005,99.61,26.80,[24.4 - 29.3%],0.1616,0.02,81.30,[77.9 - 84.2%],0.1621,96.44,0.64
JN024236 JN024237 JN024238 JN024239 JN024241 JN024242 JN024243 JN024244 JN024511,JX976672-JX976680,100.00,[99.9 - 100%],0.0023,99.6,26.80,[24.4 - 29.3%],0.1614,0.02,81.10,[77.7 - 84%],0.1634,96.27,0.61
JN024236 JN024237 JN024238 JN024239 JN024241 JN024242 JN024243 JN024244 JN024511,GQ999991,100.00,[100 - 100%],0.0008,99.61,26.50,[24.2 - 29%],0.1634,0.02,80.90,[77.6 - 83.9%],0.1641,96.19,0.36
JN024236 JN024237 JN024238 JN024239 JN024241 JN024242 JN024243 JN024244 JN024511,JX976684  JX976685,100.00,[100 - 100%],0.0009,99.61,26.70,[24.4 - 29.2%],0.1618,0.02,81.20,[77.8 - 84.2%],0.1626,96.37,0.66
JN024236 JN024237 JN024238 JN024239 JN024241 JN024242 JN024243 JN024244 JN024511,JX976686-JX976693,100.00,[99.9 - 100%],0.0018,99.6,27.40,[25 - 29.9%],0.1578,0.03,81.80,[78.4 - 84.7%],0.1593,96.75,0.64
JN024236 JN024237 JN024238 JN024239 JN024241 JN024242 JN024243 JN024244 JN024511,JX976681-JX976683,100.00,[100 - 100%],0.0007,99.61,28.00,[25.6 - 30.5%],0.1537,0.04,82.60,[79.3 - 85.5%],0.1543,97.26,0.62
JN024236 JN024237 JN024238 JN024239 JN024241 JN024242 JN024243 JN024244 JN024511,JX976632-JX976641,100.00,[100 - 100%],0.0007,99.61,26.20,[23.8 - 28.7%],0.1656,0.02,80.60,[77.2 - 83.6%],0.1662,95.91,0.49
JN024236 JN024237 JN024238 JN024239 JN024241 JN024242 JN024243 JN024244 JN024511,JX976642,100.00,[100 - 100%],0.0006,99.61,26.00,[23.7 - 28.5%],0.1668,0.02,80.40,[77 - 83.4%],0.1673,95.75,0.24
JN024236 JN024237 JN024238 JN024239 JN024241 JN024242 JN024243 JN024244 JN024511,GQ999983,100.00,[100 - 100%],0.0006,99.61,26.00,[23.7 - 28.5%],0.1668,0.02,80.40,[77 - 83.4%],0.1673,95.75,0.24
JN024236 JN024237 JN024238 JN024239 JN024241 JN024242 JN024243 JN024244 JN024511,JX976646-JX976652,100.00,[100 - 100%],0.0005,99.61,26.20,[23.9 - 28.7%],0.1653,0.02,80.60,[77.3 - 83.6%],0.1657,95.97,0.59
JN024236 JN024237 JN024238 JN024239 JN024241 JN024242 JN024243 JN024244 JN024511,JX976659-JX976669,100.00,[100 - 100%],0.0004,99.61,26.30,[24 - 28.8%],0.1648,0.02,80.80,[77.4 - 83.7%],0.1651,96.05,0.44
