,,Formula 1,,,,Formula 2,,,,Formula 3,,,,G+C difference
Query genome,Reference genome,DDH,Model C.I.,Distance,Prob. DDH >= 70%,DDH,Model C.I.,Distance,Prob. DDH >= 70%,DDH,Model C.I.,Distance,Prob. DDH >= 70%,
JN024322 JN024323 JN024324 JN024325 JN024326 JN024327 JN024328 JN024329 JN024330 JN024498,JN024331  JN024332  JN024333  JN024334  JN024335  JN024336  JN024337  JN024338  JN024499  JN024500,100.00,[100 - NaN%],0.0000,99.62,95.40,[93.9 - 96.6%],0.0062,97.3,99.90,[99.9 - 100%],0.0062,99.98,0.01
JN024322 JN024323 JN024324 JN024325 JN024326 JN024327 JN024328 JN024329 JN024330 JN024498,JN024100  JN024101  JN024103  JN024104  JN024105  JN024106  JN024107  JN024108  JN024109,100.00,[99.9 - 100%],0.0019,99.6,43.40,[40.9 - 45.9%],0.0888,5.93,92.80,[90.4 - 94.6%],0.0905,99.7,0.07
JN024322 JN024323 JN024324 JN024325 JN024326 JN024327 JN024328 JN024329 JN024330 JN024498,JN024110-JN024119,100.00,[100 - 100%],0.0006,99.61,43.20,[40.7 - 45.8%],0.0893,5.75,92.90,[90.5 - 94.7%],0.0898,99.71,0.09
JN024322 JN024323 JN024324 JN024325 JN024326 JN024327 JN024328 JN024329 JN024330 JN024498,JN024120-JN024129,100.00,[99.9 - 100%],0.0018,99.6,43.40,[40.9 - 46%],0.0887,5.99,92.80,[90.4 - 94.6%],0.0904,99.7,0.11
JN024322 JN024323 JN024324 JN024325 JN024326 JN024327 JN024328 JN024329 JN024330 JN024498,JN024130-JN024138,100.00,[100 - 100%],0.0006,99.61,43.50,[40.9 - 46%],0.0886,6.01,92.90,[90.6 - 94.7%],0.0891,99.71,0.08
JN024322 JN024323 JN024324 JN024325 JN024326 JN024327 JN024328 JN024329 JN024330 JN024498,JN024139-JN024148,100.00,[100 - 100%],0.0009,99.61,43.70,[41.2 - 46.3%],0.0879,6.35,93.00,[90.7 - 94.8%],0.0887,99.72,0.12
JN024322 JN024323 JN024324 JN024325 JN024326 JN024327 JN024328 JN024329 JN024330 JN024498,JN024149  JN024150  JN024151  JN024152  JN024153  JN024154  JN024155  JN024156  JN024157  JN024158  JN024493  JN024494  JN024533  JN024534,100.00,[100 - NaN%],0.0000,99.62,43.70,[41.2 - 46.3%],0.0879,6.35,93.10,[90.8 - 94.9%],0.0879,99.73,0.15
JN024322 JN024323 JN024324 JN024325 JN024326 JN024327 JN024328 JN024329 JN024330 JN024498,JN024159  JN024160  JN024161  JN024162  JN024163  JN024164  JN024535  JN024536  JN024572,100.00,[100 - 100%],0.0006,99.61,43.60,[41.1 - 46.2%],0.0882,6.22,93.00,[90.7 - 94.8%],0.0887,99.72,0.10
JN024322 JN024323 JN024324 JN024325 JN024326 JN024327 JN024328 JN024329 JN024330 JN024498,JN024165  JN024166  JN024167  JN024168  JN024169  JN024170  JN024171  JN024172  JN024173  JN024495  JN024537,100.00,[100 - 100%],0.0002,99.62,45.20,[42.6 - 47.7%],0.0838,8.5,93.60,[91.4 - 95.3%],0.0839,99.76,0.09
JN024322 JN024323 JN024324 JN024325 JN024326 JN024327 JN024328 JN024329 JN024330 JN024498,JN024174  JN024175  JN024176  JN024177  JN024179  JN024180  JN024181,100.00,[100 - 100%],0.0000,99.62,43.20,[40.7 - 45.7%],0.0894,5.69,92.90,[90.6 - 94.7%],0.0894,99.71,0.08
JN024322 JN024323 JN024324 JN024325 JN024326 JN024327 JN024328 JN024329 JN024330 JN024498,JN024182  JN024183  JN024184  JN024185  JN024186  JN024524  JN024525  JN024526  JN024527  JN024528,100.00,[100 - 100%],0.0007,99.61,45.60,[43.1 - 48.2%],0.0826,9.24,93.70,[91.5 - 95.4%],0.0833,99.77,0.10
JN024322 JN024323 JN024324 JN024325 JN024326 JN024327 JN024328 JN024329 JN024330 JN024498,JN024187  JN024188  JN024189  JN024190  JN024191  JN024192  JN024529  JN024530  JN024531  JN024532,100.00,[100 - NaN%],0.0000,99.62,43.40,[40.8 - 45.9%],0.0889,5.89,93.00,[90.7 - 94.8%],0.0889,99.72,0.11
JN024322 JN024323 JN024324 JN024325 JN024326 JN024327 JN024328 JN024329 JN024330 JN024498,JN024193-JN024202,100.00,[100 - 100%],0.0002,99.62,42.90,[40.4 - 45.5%],0.0901,5.4,92.80,[90.4 - 94.6%],0.0903,99.7,0.12
JN024322 JN024323 JN024324 JN024325 JN024326 JN024327 JN024328 JN024329 JN024330 JN024498,JX976707  JX976708  JX976709,99.60,[99.2 - 99.8%],0.0105,99.51,27.40,[25 - 29.9%],0.1575,0.03,80.50,[77.2 - 83.5%],0.1663,95.89,0.03
