,,Formula 1,,,,Formula 2,,,,Formula 3,,,,G+C difference
Query genome,Reference genome,DDH,Model C.I.,Distance,Prob. DDH >= 70%,DDH,Model C.I.,Distance,Prob. DDH >= 70%,DDH,Model C.I.,Distance,Prob. DDH >= 70%,
GQ999974,JX976717  JX976718  JX976719  JX976720,100.00,[100 - NaN%],0.0000,99.62,97.20,[96.2 - 98%],0.0040,97.7,100.00,[99.9 - 100%],0.0040,99.99,0.00
GQ999974,JX976721,83.40,[79.6 - 86.6%],0.1154,93.9,99.20,[98.8 - 99.5%],0.0014,98.11,88.90,[86 - 91.2%],0.1166,99.25,0.17
GQ999974,JX976729  JX976730  JX976731,100.00,[100 - 100%],0.0001,99.62,97.40,[96.4 - 98.2%],0.0038,97.73,100.00,[99.9 - 100%],0.0039,99.99,0.00
GQ999974,JX976670  JX976671,100.00,[100 - 100%],0.0008,99.61,42.30,[39.8 - 44.9%],0.0919,4.73,92.50,[90 - 94.3%],0.0927,99.67,0.46
GQ999974,JX976672-JX976680,100.00,[100 - 100%],0.0001,99.62,42.30,[39.8 - 44.8%],0.0922,4.64,92.50,[90.1 - 94.4%],0.0923,99.68,0.43
GQ999974,GQ999991,100.00,[100 - NaN%],0.0000,99.62,41.90,[39.4 - 44.5%],0.0932,4.31,92.40,[90 - 94.3%],0.0932,99.67,0.17
GQ999974,JX976684  JX976685,100.00,[99.9 - 100%],0.0018,99.6,42.20,[39.7 - 44.8%],0.0923,4.62,92.30,[89.8 - 94.2%],0.0939,99.66,0.47
GQ999974,JX976686-JX976693,100.00,[100 - 100%],0.0002,99.62,42.00,[39.5 - 44.5%],0.0931,4.34,92.40,[89.9 - 94.2%],0.0933,99.67,0.45
GQ999974,JX976681-JX976683,100.00,[100 - 100%],0.0006,99.61,41.60,[39.1 - 44.2%],0.0942,4,92.20,[89.7 - 94.1%],0.0948,99.65,0.43
GQ999974,JX976632-JX976641,100.00,[100 - 100%],0.0000,99.62,38.60,[36.1 - 41.1%],0.1043,1.89,90.80,[88.1 - 92.9%],0.1043,99.51,0.31
GQ999974,JX976642,100.00,[100 - NaN%],0.0000,99.62,38.80,[36.3 - 41.3%],0.1035,2,90.90,[88.3 - 93%],0.1035,99.53,0.06
GQ999974,GQ999983,100.00,[100 - NaN%],0.0000,99.62,38.80,[36.3 - 41.3%],0.1035,2,90.90,[88.3 - 93%],0.1035,99.53,0.06
GQ999974,JX976646-JX976652,100.00,[100 - 100%],0.0007,99.61,38.80,[36.3 - 41.3%],0.1035,2,90.80,[88.1 - 92.9%],0.1042,99.51,0.41
GQ999974,JX976659-JX976669,100.00,[100 - 100%],0.0004,99.61,39.20,[36.7 - 41.7%],0.1022,2.21,91.00,[88.4 - 93.1%],0.1025,99.54,0.25
