,,Formula 1,,,,Formula 2,,,,Formula 3,,,,G+C difference
Query genome,Reference genome,DDH,Model C.I.,Distance,Prob. DDH >= 70%,DDH,Model C.I.,Distance,Prob. DDH >= 70%,DDH,Model C.I.,Distance,Prob. DDH >= 70%,
JN024255-JN024264,JN024512-JN024520,100.00,[99.9 - 100%],0.0017,99.6,96.70,[95.5 - 97.6%],0.0047,97.58,99.90,[99.9 - 100%],0.0064,99.98,0.07
JN024255-JN024264,JN024265  JN024266  JN024267  JN024268  JN024269  JN024270  JN024271  JN024272  JN024273  JN024521,100.00,[100 - 100%],0.0000,99.62,96.40,[95.1 - 97.4%],0.0050,97.52,100.00,[99.9 - 100%],0.0050,99.98,0.06
JN024255-JN024264,JN024274-JN024282,100.00,[100 - 100%],0.0006,99.61,41.80,[39.3 - 44.3%],0.0938,4.13,92.20,[89.8 - 94.1%],0.0943,99.66,0.20
JN024255-JN024264,JN024284-JN024292,100.00,[100 - 100%],0.0006,99.61,41.90,[39.4 - 44.5%],0.0932,4.31,92.30,[89.9 - 94.2%],0.0938,99.66,0.24
JN024255-JN024264,JN024293-JN024302,100.00,[100 - 100%],0.0007,99.61,41.80,[39.3 - 44.4%],0.0935,4.23,92.30,[89.8 - 94.2%],0.0941,99.66,0.23
JN024255-JN024264,JN024303-JN024312,100.00,[100 - 100%],0.0006,99.61,41.40,[38.9 - 43.9%],0.0949,3.82,92.10,[89.6 - 94%],0.0954,99.64,0.13
JN024255-JN024264,JN024313-JN024321,100.00,[100 - 100%],0.0006,99.61,41.80,[39.3 - 44.3%],0.0937,4.16,92.20,[89.8 - 94.1%],0.0943,99.66,0.22
JN024255-JN024264,JN024322  JN024323  JN024324  JN024325  JN024326  JN024327  JN024328  JN024329  JN024330  JN024498,100.00,[100 - NaN%],0.0000,99.62,41.80,[39.3 - 44.3%],0.0938,4.13,92.30,[89.9 - 94.2%],0.0938,99.66,0.16
JN024255-JN024264,JN024331  JN024332  JN024333  JN024334  JN024335  JN024336  JN024337  JN024338  JN024499  JN024500,100.00,[100 - NaN%],0.0000,99.62,41.90,[39.4 - 44.4%],0.0933,4.28,92.40,[89.9 - 94.2%],0.0933,99.67,0.15
JN024255-JN024264,JN024100  JN024101  JN024103  JN024104  JN024105  JN024106  JN024107  JN024108  JN024109,100.00,[99.9 - 100%],0.0019,99.6,43.70,[41.2 - 46.3%],0.0878,6.38,92.90,[90.6 - 94.7%],0.0895,99.71,0.23
JN024255-JN024264,JN024110-JN024119,100.00,[100 - 100%],0.0006,99.61,43.60,[41.1 - 46.2%],0.0882,6.19,93.00,[90.7 - 94.8%],0.0888,99.72,0.25
JN024255-JN024264,JN024120-JN024129,100.00,[99.9 - 100%],0.0018,99.6,43.80,[41.2 - 46.3%],0.0877,6.41,92.90,[90.6 - 94.7%],0.0894,99.71,0.28
JN024255-JN024264,JN024130-JN024138,100.00,[100 - 100%],0.0006,99.61,43.40,[40.9 - 45.9%],0.0889,5.91,92.90,[90.6 - 94.7%],0.0894,99.71,0.24
JN024255-JN024264,JN024139-JN024148,100.00,[100 - 100%],0.0009,99.61,43.80,[41.2 - 46.3%],0.0877,6.43,93.00,[90.7 - 94.8%],0.0885,99.72,0.29
JN024255-JN024264,JN024149  JN024150  JN024151  JN024152  JN024153  JN024154  JN024155  JN024156  JN024157  JN024158  JN024493  JN024494  JN024533  JN024534,100.00,[100 - NaN%],0.0000,99.62,43.60,[41.1 - 46.2%],0.0881,6.24,93.10,[90.8 - 94.8%],0.0881,99.72,0.31
JN024255-JN024264,JN024159  JN024160  JN024161  JN024162  JN024163  JN024164  JN024535  JN024536  JN024572,100.00,[100 - 100%],0.0006,99.61,43.50,[41 - 46.1%],0.0884,6.12,93.00,[90.6 - 94.8%],0.0890,99.71,0.26
JN024255-JN024264,JN024165  JN024166  JN024167  JN024168  JN024169  JN024170  JN024171  JN024172  JN024173  JN024495  JN024537,100.00,[100 - 100%],0.0002,99.62,45.10,[42.6 - 47.7%],0.0839,8.41,93.60,[91.4 - 95.3%],0.0841,99.76,0.26
JN024255-JN024264,JN024174  JN024175  JN024176  JN024177  JN024179  JN024180  JN024181,100.00,[100 - 100%],0.0000,99.62,43.30,[40.7 - 45.8%],0.0892,5.77,92.90,[90.6 - 94.7%],0.0892,99.71,0.24
JN024255-JN024264,JN024182  JN024183  JN024184  JN024185  JN024186  JN024524  JN024525  JN024526  JN024527  JN024528,100.00,[100 - 100%],0.0008,99.61,45.50,[42.9 - 48%],0.0830,8.97,93.70,[91.5 - 95.3%],0.0838,99.76,0.26
JN024255-JN024264,JN024187  JN024188  JN024189  JN024190  JN024191  JN024192  JN024529  JN024530  JN024531  JN024532,100.00,[100 - NaN%],0.0000,99.62,43.10,[40.5 - 45.6%],0.0898,5.54,92.90,[90.5 - 94.7%],0.0898,99.71,0.27
JN024255-JN024264,JN024193-JN024202,100.00,[100 - 100%],0.0002,99.62,42.90,[40.4 - 45.4%],0.0903,5.33,92.80,[90.4 - 94.6%],0.0905,99.7,0.28
JN024255-JN024264,JX976707  JX976708  JX976709,100.00,[99.9 - 100%],0.0018,99.6,26.30,[24 - 28.8%],0.1647,0.02,80.60,[77.2 - 83.6%],0.1663,95.89,0.20
JN024255-JN024264,JX976710  JX976711  JX976712  JX976713  JX976715  JX976716,99.90,[99.9 - 100%],0.0033,99.59,26.40,[24 - 28.9%],0.1643,0.02,80.40,[77 - 83.4%],0.1670,95.79,0.20
JN024255-JN024264,GQ999974,100.00,[100 - 100%],0.0009,99.61,26.20,[23.9 - 28.7%],0.1655,0.02,80.60,[77.2 - 83.6%],0.1662,95.9,0.12
