,,Formula 1,,,,Formula 2,,,,Formula 3,,,,G+C difference
Query genome,Reference genome,DDH,Model C.I.,Distance,Prob. DDH >= 70%,DDH,Model C.I.,Distance,Prob. DDH >= 70%,DDH,Model C.I.,Distance,Prob. DDH >= 70%,
JN024100 JN024101 JN024103 JN024104 JN024105 JN024106 JN024107 JN024108 JN024109,JN024110-JN024119,100.00,[100 - 100%],0.0012,99.61,98.30,[97.5 - 98.8%],0.0027,97.92,100.00,[99.9 - 100%],0.0039,99.99,0.02
JN024100 JN024101 JN024103 JN024104 JN024105 JN024106 JN024107 JN024108 JN024109,JN024120-JN024129,100.00,[100 - 100%],0.0002,99.62,98.90,[98.3 - 99.3%],0.0019,98.04,100.00,[100 - 100%],0.0020,99.99,0.04
JN024100 JN024101 JN024103 JN024104 JN024105 JN024106 JN024107 JN024108 JN024109,JN024130-JN024138,100.00,[100 - 100%],0.0013,99.61,97.50,[96.5 - 98.2%],0.0037,97.75,100.00,[99.9 - 100%],0.0050,99.98,0.01
JN024100 JN024101 JN024103 JN024104 JN024105 JN024106 JN024107 JN024108 JN024109,JN024139-JN024148,100.00,[100 - 100%],0.0002,99.62,98.00,[97.1 - 98.6%],0.0031,97.86,100.00,[100 - 100%],0.0032,99.99,0.06
JN024100 JN024101 JN024103 JN024104 JN024105 JN024106 JN024107 JN024108 JN024109,JN024149  JN024150  JN024151  JN024152  JN024153  JN024154  JN024155  JN024156  JN024157  JN024158  JN024493  JN024494  JN024533  JN024534,100.00,[100 - 100%],0.0015,99.6,97.90,[97 - 98.5%],0.0032,97.83,100.00,[99.9 - 100%],0.0048,99.98,0.08
JN024100 JN024101 JN024103 JN024104 JN024105 JN024106 JN024107 JN024108 JN024109,JN024159  JN024160  JN024161  JN024162  JN024163  JN024164  JN024535  JN024536  JN024572,100.00,[100 - 100%],0.0002,99.62,97.70,[96.7 - 98.4%],0.0035,97.79,100.00,[99.9 - 100%],0.0037,99.99,0.03
JN024100 JN024101 JN024103 JN024104 JN024105 JN024106 JN024107 JN024108 JN024109,JN024165  JN024166  JN024167  JN024168  JN024169  JN024170  JN024171  JN024172  JN024173  JN024495  JN024537,100.00,[100 - 100%],0.0001,99.62,97.50,[96.4 - 98.2%],0.0038,97.74,100.00,[99.9 - 100%],0.0039,99.99,0.02
JN024100 JN024101 JN024103 JN024104 JN024105 JN024106 JN024107 JN024108 JN024109,JN024174  JN024175  JN024176  JN024177  JN024179  JN024180  JN024181,100.00,[99.9 - 100%],0.0022,99.6,96.60,[95.3 - 97.5%],0.0048,97.56,99.90,[99.9 - 100%],0.0069,99.98,0.01
JN024100 JN024101 JN024103 JN024104 JN024105 JN024106 JN024107 JN024108 JN024109,JN024182  JN024183  JN024184  JN024185  JN024186  JN024524  JN024525  JN024526  JN024527  JN024528,100.00,[100 - 100%],0.0002,99.62,96.30,[95 - 97.3%],0.0051,97.51,100.00,[99.9 - 100%],0.0053,99.98,0.03
JN024100 JN024101 JN024103 JN024104 JN024105 JN024106 JN024107 JN024108 JN024109,JN024187  JN024188  JN024189  JN024190  JN024191  JN024192  JN024529  JN024530  JN024531  JN024532,100.00,[99.9 - 100%],0.0019,99.6,94.90,[93.3 - 96.2%],0.0067,97.19,99.90,[99.8 - 100%],0.0086,99.98,0.04
JN024100 JN024101 JN024103 JN024104 JN024105 JN024106 JN024107 JN024108 JN024109,JN024193-JN024202,100.00,[100 - 100%],0.0003,99.62,95.00,[93.4 - 96.2%],0.0067,97.2,99.90,[99.9 - 100%],0.0069,99.98,0.05
JN024100 JN024101 JN024103 JN024104 JN024105 JN024106 JN024107 JN024108 JN024109,JX976707  JX976708  JX976709,100.00,[100 - 100%],0.0009,99.61,26.90,[24.5 - 29.4%],0.1610,0.02,81.30,[78 - 84.3%],0.1618,96.47,0.04
JN024100 JN024101 JN024103 JN024104 JN024105 JN024106 JN024107 JN024108 JN024109,JX976710  JX976711  JX976712  JX976713  JX976715  JX976716,100.00,[100 - 100%],0.0012,99.61,26.90,[24.5 - 29.4%],0.1609,0.02,81.30,[78 - 84.3%],0.1619,96.46,0.03
JN024100 JN024101 JN024103 JN024104 JN024105 JN024106 JN024107 JN024108 JN024109,GQ999974,100.00,[100 - 100%],0.0007,99.61,26.80,[24.4 - 29.3%],0.1615,0.02,81.30,[77.9 - 84.2%],0.1621,96.43,0.11
JN024100 JN024101 JN024103 JN024104 JN024105 JN024106 JN024107 JN024108 JN024109,JX976717  JX976718  JX976719  JX976720,100.00,[100 - 100%],0.0010,99.61,26.80,[24.5 - 29.3%],0.1612,0.02,81.30,[77.9 - 84.2%],0.1620,96.44,0.12
