,,Formula 1,,,,Formula 2,,,,Formula 3,,,,G+C difference
Query genome,Reference genome,DDH,Model C.I.,Distance,Prob. DDH >= 70%,DDH,Model C.I.,Distance,Prob. DDH >= 70%,DDH,Model C.I.,Distance,Prob. DDH >= 70%,
JN024265 JN024266 JN024267 JN024268 JN024269 JN024270 JN024271 JN024272 JN024273 JN024521,JN024274-JN024282,100.00,[100 - 100%],0.0006,99.61,42.00,[39.5 - 44.5%],0.0931,4.35,92.30,[89.9 - 94.2%],0.0937,99.66,0.25
JN024265 JN024266 JN024267 JN024268 JN024269 JN024270 JN024271 JN024272 JN024273 JN024521,JN024284-JN024292,100.00,[100 - 100%],0.0006,99.61,42.20,[39.7 - 44.7%],0.0925,4.53,92.40,[90 - 94.3%],0.0931,99.67,0.29
JN024265 JN024266 JN024267 JN024268 JN024269 JN024270 JN024271 JN024272 JN024273 JN024521,JN024293-JN024302,100.00,[100 - 100%],0.0007,99.61,42.10,[39.6 - 44.6%],0.0928,4.44,92.40,[89.9 - 94.2%],0.0934,99.67,0.29
JN024265 JN024266 JN024267 JN024268 JN024269 JN024270 JN024271 JN024272 JN024273 JN024521,JN024303-JN024312,100.00,[100 - 100%],0.0006,99.61,41.60,[39.1 - 44.2%],0.0942,4.01,92.20,[89.7 - 94.1%],0.0947,99.65,0.19
JN024265 JN024266 JN024267 JN024268 JN024269 JN024270 JN024271 JN024272 JN024273 JN024521,JN024313-JN024321,100.00,[100 - 100%],0.0006,99.61,42.00,[39.5 - 44.5%],0.0930,4.37,92.30,[89.9 - 94.2%],0.0936,99.66,0.27
JN024265 JN024266 JN024267 JN024268 JN024269 JN024270 JN024271 JN024272 JN024273 JN024521,JN024322  JN024323  JN024324  JN024325  JN024326  JN024327  JN024328  JN024329  JN024330  JN024498,100.00,[100 - 100%],0.0000,99.62,42.00,[39.5 - 44.5%],0.0931,4.35,92.40,[90 - 94.3%],0.0931,99.67,0.22
JN024265 JN024266 JN024267 JN024268 JN024269 JN024270 JN024271 JN024272 JN024273 JN024521,JN024331  JN024332  JN024333  JN024334  JN024335  JN024336  JN024337  JN024338  JN024499  JN024500,100.00,[100 - 100%],0.0000,99.62,42.10,[39.6 - 44.7%],0.0926,4.5,92.50,[90.1 - 94.3%],0.0926,99.68,0.21
JN024265 JN024266 JN024267 JN024268 JN024269 JN024270 JN024271 JN024272 JN024273 JN024521,JN024100  JN024101  JN024103  JN024104  JN024105  JN024106  JN024107  JN024108  JN024109,100.00,[99.9 - 100%],0.0019,99.6,43.90,[41.3 - 46.4%],0.0875,6.54,92.90,[90.6 - 94.7%],0.0892,99.71,0.29
JN024265 JN024266 JN024267 JN024268 JN024269 JN024270 JN024271 JN024272 JN024273 JN024521,JN024110-JN024119,100.00,[100 - 100%],0.0006,99.61,43.70,[41.2 - 46.3%],0.0879,6.35,93.00,[90.7 - 94.8%],0.0884,99.72,0.31
JN024265 JN024266 JN024267 JN024268 JN024269 JN024270 JN024271 JN024272 JN024273 JN024521,JN024120-JN024129,100.00,[99.9 - 100%],0.0018,99.6,43.90,[41.3 - 46.4%],0.0874,6.56,93.00,[90.6 - 94.7%],0.0891,99.71,0.33
JN024265 JN024266 JN024267 JN024268 JN024269 JN024270 JN024271 JN024272 JN024273 JN024521,JN024130-JN024138,100.00,[100 - 100%],0.0006,99.61,43.50,[41 - 46.1%],0.0885,6.06,93.00,[90.6 - 94.7%],0.0890,99.71,0.29
JN024265 JN024266 JN024267 JN024268 JN024269 JN024270 JN024271 JN024272 JN024273 JN024521,JN024139-JN024148,100.00,[100 - 100%],0.0009,99.61,43.90,[41.4 - 46.4%],0.0874,6.58,93.10,[90.8 - 94.8%],0.0882,99.72,0.34
JN024265 JN024266 JN024267 JN024268 JN024269 JN024270 JN024271 JN024272 JN024273 JN024521,JN024149  JN024150  JN024151  JN024152  JN024153  JN024154  JN024155  JN024156  JN024157  JN024158  JN024493  JN024494  JN024533  JN024534,100.00,[100 - 100%],0.0000,99.62,43.70,[41.2 - 46.3%],0.0878,6.37,93.10,[90.8 - 94.9%],0.0878,99.73,0.36
