,,Formula 1,,,,Formula 2,,,,Formula 3,,,,G+C difference
Query genome,Reference genome,DDH,Model C.I.,Distance,Prob. DDH >= 70%,DDH,Model C.I.,Distance,Prob. DDH >= 70%,DDH,Model C.I.,Distance,Prob. DDH >= 70%,
JN024223 JN024224 JN024226 JN024227 JN024228 JN024229 JN024230 JN024231 JN024232 JN024233 JN024234 JN024235 JN024496 JN024497,JN024236  JN024237  JN024238  JN024239  JN024241  JN024242  JN024243  JN024244  JN024511,100.00,[100 - NaN%],0.0000,99.62,97.80,[96.9 - 98.5%],0.0033,97.82,100.00,[100 - 100%],0.0033,99.99,0.03
JN024223 JN024224 JN024226 JN024227 JN024228 JN024229 JN024230 JN024231 JN024232 JN024233 JN024234 JN024235 JN024496 JN024497,JN024245-JN024254,100.00,[100 - NaN%],0.0000,99.62,97.60,[96.6 - 98.3%],0.0036,97.78,100.00,[100 - 100%],0.0036,99.99,0.04
JN024223 JN024224 JN024226 JN024227 JN024228 JN024229 JN024230 JN024231 JN024232 JN024233 JN024234 JN024235 JN024496 JN024497,JN024255-JN024264,100.00,[99.9 - 100%],0.0021,99.6,97.50,[96.5 - 98.3%],0.0037,97.76,100.00,[99.9 - 100%],0.0058,99.98,0.04
JN024223 JN024224 JN024226 JN024227 JN024228 JN024229 JN024230 JN024231 JN024232 JN024233 JN024234 JN024235 JN024496 JN024497,JN024512-JN024520,100.00,[100 - NaN%],0.0000,99.62,97.60,[96.6 - 98.3%],0.0036,97.77,100.00,[99.9 - 100%],0.0036,99.99,0.02
JN024223 JN024224 JN024226 JN024227 JN024228 JN024229 JN024230 JN024231 JN024232 JN024233 JN024234 JN024235 JN024496 JN024497,JN024265  JN024266  JN024267  JN024268  JN024269  JN024270  JN024271  JN024272  JN024273  JN024521,100.00,[99.9 - 100%],0.0021,99.6,97.10,[96 - 97.9%],0.0041,97.68,99.90,[99.9 - 100%],0.0063,99.98,0.01
JN024223 JN024224 JN024226 JN024227 JN024228 JN024229 JN024230 JN024231 JN024232 JN024233 JN024234 JN024235 JN024496 JN024497,JN024274-JN024282,100.00,[100 - 100%],0.0014,99.6,42.20,[39.7 - 44.8%],0.0924,4.59,92.30,[89.9 - 94.2%],0.0936,99.66,0.24
JN024223 JN024224 JN024226 JN024227 JN024228 JN024229 JN024230 JN024231 JN024232 JN024233 JN024234 JN024235 JN024496 JN024497,JN024284-JN024292,100.00,[100 - 100%],0.0014,99.6,42.40,[39.9 - 45%],0.0918,4.79,92.40,[90 - 94.3%],0.0930,99.67,0.28
JN024223 JN024224 JN024226 JN024227 JN024228 JN024229 JN024230 JN024231 JN024232 JN024233 JN024234 JN024235 JN024496 JN024497,JN024293-JN024302,100.00,[100 - 100%],0.0013,99.61,42.30,[39.8 - 44.9%],0.0921,4.69,92.40,[90 - 94.3%],0.0933,99.67,0.28
JN024223 JN024224 JN024226 JN024227 JN024228 JN024229 JN024230 JN024231 JN024232 JN024233 JN024234 JN024235 JN024496 JN024497,JN024303-JN024312,100.00,[100 - 100%],0.0013,99.61,41.80,[39.3 - 44.4%],0.0935,4.22,92.20,[89.7 - 94.1%],0.0947,99.65,0.18
