,,Formula 1,,,,Formula 2,,,,Formula 3,,,,G+C difference
Query genome,Reference genome,DDH,Model C.I.,Distance,Prob. DDH >= 70%,DDH,Model C.I.,Distance,Prob. DDH >= 70%,DDH,Model C.I.,Distance,Prob. DDH >= 70%,
JX976717 JX976718 JX976719 JX976720,JX976721,72.30,[68.3 - 75.9%],0.1717,79.45,97.70,[96.7 - 98.4%],0.0035,97.79,79.10,[75.7 - 82.2%],0.1746,94.59,0.17
JX976717 JX976718 JX976719 JX976720,JX976729  JX976730  JX976731,100.00,[100 - 100%],0.0000,99.62,97.20,[96.1 - 98%],0.0041,97.68,100.00,[99.9 - 100%],0.0042,99.99,0.00
JX976717 JX976718 JX976719 JX976720,JX976670  JX976671,100.00,[100 - 100%],0.0009,99.61,42.10,[39.6 - 44.7%],0.0925,4.53,92.40,[89.9 - 94.2%],0.0933,99.67,0.46
JX976717 JX976718 JX976719 JX976720,JX976672-JX976680,100.00,[100 - 100%],0.0001,99.62,42.20,[39.7 - 44.8%],0.0924,4.59,92.50,[90.1 - 94.4%],0.0924,99.68,0.43
JX976717 JX976718 JX976719 JX976720,GQ999991,100.00,[100 - NaN%],0.0000,99.62,41.80,[39.3 - 44.3%],0.0937,4.15,92.30,[89.9 - 94.2%],0.0937,99.66,0.18
JX976717 JX976718 JX976719 JX976720,JX976684  JX976685,99.90,[99.9 - 100%],0.0032,99.59,42.10,[39.6 - 44.6%],0.0928,4.43,92.00,[89.5 - 94%],0.0958,99.64,0.48
JX976717 JX976718 JX976719 JX976720,JX976686-JX976693,100.00,[100 - 100%],0.0002,99.62,42.50,[40 - 45%],0.0915,4.89,92.60,[90.2 - 94.4%],0.0916,99.69,0.46
JX976717 JX976718 JX976719 JX976720,JX976681-JX976683,100.00,[100 - 100%],0.0006,99.61,42.50,[40 - 45%],0.0915,4.89,92.60,[90.2 - 94.4%],0.0920,99.68,0.44
JX976717 JX976718 JX976719 JX976720,JX976632-JX976641,100.00,[100 - 100%],0.0000,99.62,38.60,[36.1 - 41.1%],0.1043,1.89,90.80,[88.1 - 92.9%],0.1043,99.51,0.31
JX976717 JX976718 JX976719 JX976720,JX976642,100.00,[100 - NaN%],0.0000,99.62,38.60,[36.1 - 41.1%],0.1044,1.88,90.80,[88.1 - 92.9%],0.1044,99.51,0.06
JX976717 JX976718 JX976719 JX976720,GQ999983,100.00,[100 - NaN%],0.0000,99.62,38.60,[36.1 - 41.1%],0.1044,1.88,90.80,[88.1 - 92.9%],0.1044,99.51,0.06
JX976717 JX976718 JX976719 JX976720,JX976646-JX976652,100.00,[99.9 - 100%],0.0016,99.6,38.90,[36.4 - 41.4%],0.1031,2.06,90.70,[88.1 - 92.8%],0.1046,99.51,0.41
JX976717 JX976718 JX976719 JX976720,JX976659-JX976669,100.00,[100 - 100%],0.0011,99.61,39.20,[36.7 - 41.7%],0.1023,2.19,90.90,[88.3 - 93%],0.1033,99.53,0.26
