,,Formula 1,,,,Formula 2,,,,Formula 3,,,,G+C difference
Query genome,Reference genome,DDH,Model C.I.,Distance,Prob. DDH >= 70%,DDH,Model C.I.,Distance,Prob. DDH >= 70%,DDH,Model C.I.,Distance,Prob. DDH >= 70%,
JX976670 JX976671,JX976672-JX976680,100.00,[100 - 100%],0.0014,99.61,99.30,[98.8 - 99.5%],0.0014,98.11,100.00,[100 - 100%],0.0027,99.99,0.03
JX976670 JX976671,GQ999991,100.00,[100 - 100%],0.0008,99.61,98.30,[97.5 - 98.8%],0.0027,97.91,100.00,[100 - 100%],0.0036,99.99,0.29
JX976670 JX976671,JX976684  JX976685,100.00,[100 - 100%],0.0015,99.6,99.10,[98.6 - 99.4%],0.0016,98.09,100.00,[100 - 100%],0.0031,99.99,0.02
JX976670 JX976671,JX976686-JX976693,100.00,[100 - 100%],0.0011,99.61,98.30,[97.6 - 98.9%],0.0027,97.92,100.00,[99.9 - 100%],0.0037,99.99,0.00
JX976670 JX976671,JX976681-JX976683,100.00,[100 - 100%],0.0004,99.61,87.70,[85.2 - 89.9%],0.0146,94.97,99.70,[99.5 - 99.9%],0.0149,99.98,0.02
JX976670 JX976671,JX976632-JX976641,100.00,[100 - 100%],0.0003,99.62,38.50,[36.1 - 41.1%],0.1045,1.85,90.70,[88.1 - 92.8%],0.1048,99.51,0.15
JX976670 JX976671,JX976642,100.00,[100 - 100%],0.0009,99.61,38.50,[36 - 41%],0.1046,1.84,90.60,[87.9 - 92.7%],0.1055,99.49,0.40
JX976670 JX976671,GQ999983,100.00,[100 - 100%],0.0009,99.61,38.50,[36 - 41%],0.1046,1.84,90.60,[87.9 - 92.7%],0.1055,99.49,0.40
JX976670 JX976671,JX976646-JX976652,100.00,[100 - 100%],0.0005,99.61,38.60,[36.1 - 41.1%],0.1043,1.89,90.70,[88 - 92.8%],0.1048,99.5,0.05
JX976670 JX976671,JX976659-JX976669,100.00,[100 - 100%],0.0004,99.61,38.70,[36.3 - 41.2%],0.1038,1.95,90.80,[88.1 - 92.9%],0.1042,99.51,0.20
