,,Formula 1,,,,Formula 2,,,,Formula 3,,,,G+C difference
Query genome,Reference genome,DDH,Model C.I.,Distance,Prob. DDH >= 70%,DDH,Model C.I.,Distance,Prob. DDH >= 70%,DDH,Model C.I.,Distance,Prob. DDH >= 70%,
JN024303-JN024312,JN024313-JN024321,100.00,[100 - 100%],0.0000,99.62,96.50,[95.2 - 97.4%],0.0049,97.54,100.00,[99.9 - 100%],0.0049,99.98,0.08
JN024303-JN024312,JN024322  JN024323  JN024324  JN024325  JN024326  JN024327  JN024328  JN024329  JN024330  JN024498,100.00,[100 - 100%],0.0006,99.61,96.00,[94.6 - 97%],0.0055,97.43,99.90,[99.9 - 100%],0.0061,99.98,0.03
JN024303-JN024312,JN024331  JN024332  JN024333  JN024334  JN024335  JN024336  JN024337  JN024338  JN024499  JN024500,100.00,[100 - 100%],0.0006,99.61,94.20,[92.5 - 95.6%],0.0075,97.02,99.90,[99.8 - 100%],0.0081,99.98,0.02
JN024303-JN024312,JN024100  JN024101  JN024103  JN024104  JN024105  JN024106  JN024107  JN024108  JN024109,100.00,[100 - 100%],0.0012,99.61,43.10,[40.5 - 45.6%],0.0898,5.54,92.70,[90.3 - 94.5%],0.0909,99.69,0.10
JN024303-JN024312,JN024110-JN024119,100.00,[100 - NaN%],0.0000,99.62,42.90,[40.4 - 45.5%],0.0902,5.38,92.80,[90.5 - 94.6%],0.0902,99.7,0.12
JN024303-JN024312,JN024120-JN024129,100.00,[100 - 100%],0.0012,99.61,43.10,[40.6 - 45.7%],0.0896,5.6,92.70,[90.4 - 94.6%],0.0907,99.7,0.14
JN024303-JN024312,JN024130-JN024138,100.00,[100 - NaN%],0.0000,99.62,43.10,[40.6 - 45.7%],0.0895,5.63,92.90,[90.6 - 94.7%],0.0895,99.71,0.11
JN024303-JN024312,JN024139-JN024148,100.00,[100 - 100%],0.0005,99.61,43.40,[40.9 - 45.9%],0.0889,5.91,92.90,[90.6 - 94.7%],0.0893,99.71,0.16
JN024303-JN024312,JN024149  JN024150  JN024151  JN024152  JN024153  JN024154  JN024155  JN024156  JN024157  JN024158  JN024493  JN024494  JN024533  JN024534,100.00,[100 - 100%],0.0005,99.61,43.40,[40.8 - 45.9%],0.0889,5.88,92.90,[90.6 - 94.7%],0.0894,99.71,0.18
JN024303-JN024312,JN024159  JN024160  JN024161  JN024162  JN024163  JN024164  JN024535  JN024536  JN024572,100.00,[100 - 100%],0.0004,99.61,43.30,[40.8 - 45.8%],0.0892,5.79,92.90,[90.6 - 94.7%],0.0895,99.71,0.13
JN024303-JN024312,JN024165  JN024166  JN024167  JN024168  JN024169  JN024170  JN024171  JN024172  JN024173  JN024495  JN024537,100.00,[100 - 100%],0.0001,99.62,44.80,[42.3 - 47.4%],0.0847,7.96,93.50,[91.3 - 95.2%],0.0848,99.75,0.12
JN024303-JN024312,JN024174  JN024175  JN024176  JN024177  JN024179  JN024180  JN024181,100.00,[100 - 100%],0.0006,99.61,42.90,[40.4 - 45.4%],0.0904,5.31,92.70,[90.3 - 94.5%],0.0909,99.69,0.11
JN024303-JN024312,JN024182  JN024183  JN024184  JN024185  JN024186  JN024524  JN024525  JN024526  JN024527  JN024528,100.00,[100 - 100%],0.0005,99.61,45.30,[42.7 - 47.9%],0.0835,8.68,93.70,[91.4 - 95.3%],0.0839,99.76,0.13
JN024303-JN024312,JN024187  JN024188  JN024189  JN024190  JN024191  JN024192  JN024529  JN024530  JN024531  JN024532,100.00,[100 - 100%],0.0006,99.61,43.00,[40.5 - 45.6%],0.0899,5.51,92.80,[90.4 - 94.6%],0.0904,99.7,0.14
JN024303-JN024312,JN024193-JN024202,100.00,[100 - 100%],0.0001,99.62,42.60,[40.1 - 45.2%],0.0912,5.01,92.70,[90.3 - 94.5%],0.0913,99.69,0.15
JN024303-JN024312,JX976707  JX976708  JX976709,93.70,[91.1 - 95.6%],0.0598,98.36,27.80,[25.5 - 30.3%],0.1548,0.04,73.70,[70.2 - 76.9%],0.2053,85.62,0.06
JN024303-JN024312,JX976710  JX976711  JX976712  JX976713  JX976715  JX976716,95.10,[92.9 - 96.7%],0.0506,98.69,27.80,[25.5 - 30.3%],0.1547,0.04,75.10,[71.6 - 78.2%],0.1974,88.69,0.07
JN024303-JN024312,GQ999974,92.10,[89.2 - 94.3%],0.0691,97.96,27.80,[25.4 - 30.3%],0.1552,0.04,72.20,[68.8 - 75.5%],0.2135,81.72,0.02
JN024303-JN024312,JX976717  JX976718  JX976719  JX976720,94.20,[91.7 - 96%],0.0563,98.5,27.90,[25.5 - 30.3%],0.1546,0.04,74.20,[70.7 - 77.4%],0.2023,86.89,0.02
JN024303-JN024312,JX976721,57.40,[53.8 - 60.9%],0.2562,32.69,28.40,[26 - 30.9%],0.1513,0.05,48.60,[45.5 - 51.6%],0.3687,1.91,0.19
JN024303-JN024312,JX976729  JX976730  JX976731,91.00,[87.9 - 93.4%],0.0755,97.62,28.00,[25.6 - 30.5%],0.1539,0.04,71.50,[68 - 74.7%],0.2177,79.4,0.02
JN024303-JN024312,JX976670  JX976671,97.00,[95.2 - 98.1%],0.0376,99.04,28.40,[26 - 30.9%],0.1515,0.05,77.50,[74.1 - 80.7%],0.1834,92.76,0.44
JN024303-JN024312,JX976672-JX976680,98.10,[96.9 - 98.9%],0.0278,99.25,28.40,[26 - 30.9%],0.1516,0.05,79.00,[75.6 - 82.1%],0.1752,94.47,0.41
JN024303-JN024312,GQ999991,86.60,[83 - 89.5%],0.0990,95.83,28.60,[26.2 - 31.1%],0.1503,0.06,68.60,[65.2 - 71.9%],0.2344,68.24,0.16
JN024303-JN024312,JX976684  JX976685,96.90,[95.2 - 98%],0.0381,99.03,28.30,[26 - 30.8%],0.1517,0.05,77.40,[74 - 80.6%],0.1840,92.63,0.46
JN024303-JN024312,JX976686-JX976693,97.20,[95.6 - 98.2%],0.0356,99.09,28.30,[25.9 - 30.8%],0.1518,0.05,77.80,[74.3 - 80.9%],0.1820,93.09,0.44
JN024303-JN024312,JX976681-JX976683,100.00,[100 - 100%],0.0009,99.61,29.10,[26.7 - 31.6%],0.1473,0.07,83.70,[80.4 - 86.5%],0.1481,97.78,0.42
JN024303-JN024312,JX976632-JX976641,99.70,[99.3 - 99.8%],0.0097,99.52,27.20,[24.9 - 29.7%],0.1587,0.03,80.40,[77.1 - 83.4%],0.1669,95.81,0.29
JN024303-JN024312,JX976642,99.50,[99.1 - 99.8%],0.0118,99.49,27.10,[24.8 - 29.6%],0.1594,0.03,80.00,[76.6 - 83%],0.1693,95.45,0.04
JN024303-JN024312,GQ999983,99.50,[99.1 - 99.8%],0.0118,99.49,27.10,[24.8 - 29.6%],0.1594,0.03,80.00,[76.6 - 83%],0.1693,95.45,0.04
JN024303-JN024312,JX976646-JX976652,99.60,[99.3 - 99.8%],0.0101,99.51,27.40,[25 - 29.9%],0.1577,0.03,80.60,[77.2 - 83.6%],0.1662,95.9,0.39
